[0.0] 对面雪天队,这样上啊,雪天队
[2471.48] 兄弟
[2476.47] 哦我没雨天了
[2477.87] 不好意思
[2479.95] 没有雨天的
[2481.63] 那不尴尬了
[2486.17] 是吧没有雨天我冲个
[2487.57] 冲个屁啊冲
[2488.49] 哎这没有雨天的
[2501.97] 卢卡雷你这么猛啊
[2504.37] 你不怕我冲死你啊
[2512.21] 哎果然怂啊
[2513.09] 我就说嘛
[2513.65] 这卢卡雷不怂怎么会呢
[2514.97] 卢卡雷这不找死吗
[2519.1] 你找死鬼剑
[2520.26] 椅子头鞋
[2521.54] 杀得了我吗
[2523.7] 哇力度挺高啊
[2525.22] 再补个自然杀我
[2527.38] 那直接冲了
[2528.62] 我死了
[2529.26] 我反伤而死完了
[2531.82] 这冲死他没问题
[2533.78] 他椅子头鞋力度还挺高啊
[2535.78] 足处之福的椅子头鞋
[2537.1] 这力度啊反伤而死啊
[2540.18] 对他就是一换一给你换掉一位雪女啊
[2542.46] 就是这个意思
[2544.46] 灵云砸空气了
[2545.82] 啊有没有雨天没雨天啊
[2546.98] 糟了我没雨天啊
[2551.74] 我们打得过卢卡雷吗
[2553.74] 打得过啊
[2554.22] 相信卢卡雷
[2561.37] 哎呀好烦啊
[2562.65] 这下完了
[2566.48] 他扫墓
[2567.72] 然后加上近战我不就没了吗
[2572.69] 哎我还是得带雨天的
[2574.85] 我没带雨天结果就是这样
[2577.65] 扫墓清场了
[2582.46] 对吧
[2586.06] 你你电光树打不了啊
[2588.62] 只能砸灵群
[2589.42] 砸完以后再补个水鞋喷射一下白痴
[2591.5] 哎
[2593.18] 哎卢卡雷又不用管他
[2594.34] 卢卡雷有狗屁不是
[2596.46] 格斗河那个啥
[2597.3] 我们宝山你都挡他的
[2598.78] 关键是个扫墓啊
[2604.26] 我抗斗果我一定可以接啊
[2605.98] 我这雨天一个电光树把他轰了
[2607.46] 但是我们现在没有雨天打不了电光树啊
[2609.42] 他竟然无所谓抗斗果接得了啊
[2611.82] 我知道你适应力量猛啊
[2614.1] 哎等一下
[2616.46] 你说怎么回事
[2617.7] 这个优优血液好像
[2620.54] 啊已经击中药害了
[2621.98] 无所谓
[2622.78] 你落下来又废人一个
[2628.99] 桑木哎他不是围巾的
[2630.71] 你不是围巾的
[2631.47] 那不好意思啊
[2632.63] 原来你不是围巾的
[2634.27] 啊砸
[2639.0] ok伤害这就不错了嘛
[2641.0] 然后把优优血液点了
[2642.08] 你不是围巾
[2642.6] 你给我说个屁啊
[2646.47] 水泪铺
[2649.94] 这里我也不活了
[2650.82] 说实话
[2652.3] 那砸一下吧
[2658.64] 他后面肯定有差啊
[2660.08] 最高的问题是什么
[2660.88] 最高的问题只有水泪铺啊
[2662.64] 硬打他呀
[2663.92] 是不是硬打他
[2668.14] 要砸
[2670.6] 一尾拳一走换谁
[2674.09] 换他的桥龙
[2674.93] 哎呦他的桥龙啊
[2677.77] 鲁卡琉又怂一下
[2678.73] 没问题啊没问题
[2679.57] 下坡把鲁卡琉打死
[2680.97] 你看他就没有带那个啥
[2682.45] 他也没带场地
[2683.57] 二水泪铺打一下伤害如何
[2685.25] 伤害不高完全没办法
[2686.97] 砸呀砸简二也砸
[2692.76] 我砸
[2697.78] ok
[2698.94] 接着砸不要命了
[2704.75] 他流星群砸不砸都是我的这个
[2708.19] 左边的位置
[2710.23] 死吧
[2711.35] 鲁卡琉必死
[2715.5] 我接着砸
[2717.22] 我都砸傻了啊
[2719.02] 砸傻了是不是得砸
[2723.58] 宝珊经可是比鲁卡琉快的
[2725.06] 哎呀又没带雨天难受
[2728.34] 没雨天真难受
[2729.78] 乔龙怂一下无所谓
[2731.34] 鲁卡琉就阵亡吧鲁卡琉
[2735.05] 饿死不死
[2736.89] 鲁卡琉说我死了
[2737.85] 你看那鲁卡琉萃成的啥样啊
[2739.69] 摸一下就死
[2740.57] 速度一百一十二又尴尬
[2743.17] 还有个人和你一样叫叫做爱蕊朵了
[2745.25] 这种速度都不太行
[2748.01] 宝珊经的人家好歹120也稍微快点
[2751.65] 他接着吃打不动
[2753.97] 最后一只是那个一尾悬鱼
[2757.53] 我走了我走了
[2759.73] 那么他流星群砸我们
[2761.81] 随便把我打死他
[2768.49] 你说保护一下
[2769.53] 然后上那个谁
[2774.9] 砸
[2775.78] 砸傻了
[2777.42] 确实砸傻了
[2786.51] 扫木扫死这边没关系
[2788.19] 无所谓
[2792.02] 不要慌
[2793.18] 为何不慌啊
[2795.06] 哦你敢打电光树啊
[2796.98] 喂他敢真敢打掉他续能一会电光树啊
[2799.3] 他真敢续啊
[2801.06] 哇
[2811.78] 那叫粪粽粉啊粪粽粉
[2814.46] 我这敢续电光树啊
[2817.14] 我随便给我必杀你啊
[2822.51] 这边粪粽粉啊吸个电光树
[2826.78] 然后冰炫打乔龙
[2827.9] 但是越打他的这个物防越高
[2830.74] 你说这打不动啊确实打不动
[2834.38] 打不动这个乔龙了
[2842.03] 一尾全御从一下
[2843.59] 等会还是要杀他啊必杀他
[2857.79] 电光树发射
[2860.85] 打多少
[2863.4] 伤害当然不上高啊
[2868.78] 他吃个饭
[2871.49] 哎呦这样下去也不是办法呀水裂破
[2887.07] 好打死他的一尾全御啊
[2890.03] 没问题
[2894.27] 四倍抗草打刷得动了
[2895.83] 除非烧伤
[2898.51] 这边再再轰电光树啊你真是猛啊
[2903.03] 他真是无脑电光树了现在
[2909.02] 他刷伤害百分之个位水没烧伤
[2915.42] 有伤伤就有戏啊
[2918.59] 你先打个冰炫的话也没伤害
[2921.47] 这么下去不是办法呀
[2926.19] 要保护一下保护一下
[2929.99] 接着刷
[2931.07] 给他加6倍真打不动乔龙
[2935.52] 烧伤早晚要烧的早晚要烧的
[2940.39] 电光树他肯定打左边的
[2941.95] 等会砸个灵群嘛
[2944.31] 啊刷
[2949.32] 烧
[2950.8] 吸中药汉
[2953.0] 啊有烧伤了来来来来这下来了
[2955.8] 这下就来了嘛
[2957.48] 他持久了无所谓那你可就砸不住了啊
[2960.6] 他只能砸灵群了吧
[2963.4] 剩饭和伤底消了我们就可以慢慢刷起来了啊
[2966.48] 你回不过来了
[2968.92] 百分二十个的烧伤啊这个还是比较高的
[2970.88] 冰炫他
[2972.48] 接着刷你要打就打呀无所谓
[2974.52] 我看你找不找得住
[2977.2] 无敌我看你无敌无敌不了啊
[2981.95] 啊我炫
[2984.47] 大历史啊我大历史山可以啊你别说
[2986.59] 再加那么多酒那又怎么样加那么多酒无妨
[2990.15] 电光树继续来啊你还在烘电光树啊兄弟
[2993.87] 他电光树你没其他技能吗
[2996.63] 要蓄能啊来不及了呀
[3000.55] 刷
[3003.9] 对不对你看不住了呀
[3013.28] 你又烘左边是吧
[3014.48] 那我保护一下
[3020.21] 看加几了
[3021.49] 加三了啊加三又怎么了又啥了不起的
[3024.09] 保护一下
[3025.81] 接着刷
[3027.21] 哎这个人这么执着打电光树
[3029.49] 不杀我一个人啊
[3036.13] 电光树
[3040.83] 只要烧伤和剩饭抵消
[3042.47] 你看我在这一人刷早晚烧伤
[3045.67] 他就没法回血了没法回血的话慢慢磨他的血吗
[3049.27] 他无妨已经不能提高了
[3050.51] 我知道你的无妨已经添下无敌了
[3052.83] 但是你的血量再不断的掉啊
[3057.79] 烧
[3060.98] 冰炫
[3063.81] 刷
[3072.1] 啊冰炫又来
[3073.98] 加六是吧
[3075.34] 百分二十六
[3077.38] 啊够不够啊
[3080.7] 干炮
[3083.74] 垃圾干炮加三都打不死啊
[3085.98] 哎呦
[3087.06] 他就没有完全没有加输出啊
[3088.94] 完全没加输出
[3095.91] 那就没办法了
[3098.67] 最后竟能啥你猜是啥
[3100.75] 不热烂
[3101.31] 哈哈是不热烂
[3103.55] 啊最后竟应该没带
[3106.03] 没带这个流行去嘛
[3107.31] 要带了肯定点了肯定不热烂的
[3110.15] 那这就没办法了
[3111.87] 不热烂挡那个谁的
[3113.59] 不热烂挡那个
[3115.63] 哎你格斗技能挺多的呀
[3117.07] 你那个谁已经有格斗技能了
[3118.59] 在鲁卡尼奥
[3120.91] 啊炫
[3123.78] 如果他没进攻打
[3124.7] 那有可能有可能是波尔旦啊
[3129.08] 就干炮
[3132.14] 哎我插死了
[3134.82] 呃他百分二十五还得炫一下呀
[3137.7] 炫两下啊
[3141.07] 没关系
[3141.51] 如果他没有进攻打的话
[3142.63] 他也没有进攻打包扇心的百分之十二
[3145.99] 百分之十二都炫不动吗
[3147.39] 真的猛啊
[3154.69] 百分之十二啊
[3156.77] 哎呦才炫了百分之九
[3161.97] 你看他没有是不是
[3163.05] 他没有啊
[3164.57] 你看到没有
[3165.61] 他打他钢炮打包扇
[3167.25] 他没有技能打你知道吧
[3169.13] 电光树你不肯打电光树
[3170.37] 电光树要去能的
[3171.53] 我不肯给你开雨天的
[3172.85] 少一下他没有了
[3173.65] 百分之三的水量终于给他
[3175.49] 给他炫死了
[3176.17] 哇这真硬啊这乔龙
[3184.5] 他他打包扇也打钢炮
[3186.58] 说明他没有技能打没办法
[3190.07] 他要死吧
[3192.95] 才打百分之九的伤害呀
[3195.39] 我堂堂大力势
[3198.39] 哎呀也就那样吧
[3202.65] 力度也就那样
[3203.89] 十二年胜了啊
[3212.86] 也都十二年胜了
[3215.86] 好吧今天打这里吧
[3217.18] 我们下期再见
