[13.559] 爹娘
[2907.32] 祖母您就等着我们顾家发达吧
[2911.51] 集资会的事就有劳渔家了
[2917.62] 难受
[2918.86] 你和虞姝结婚5年了
[2921.08] 还未入洞房
[2922.46] 这次余家帮了咱们这么大的忙
[2926.42] 你应该多去虞姝的房间住一住
[2930.12] 如果虞姝也怀孕了
[2932.52] 我们岂不是双喜临门了
[2937.3] 啊是我不管你不可以跟你入元芳
[2944.35] 你不可以跟你约房
[2946.04] 顾南晟
[2947.12] 你真以为我是普通青楼的女子啊
[2949.73] 在我的老家一直是一夫一妻制的
[2953.4] 而且我懂的比喻输出
[2955.6] 这次买卖靠的是我虞姝
[2958.89] 她只是身世比我好
[2962.01] 凭什么踩着我的宠啊
[2963.66] 我不管好了
[2965.879] 宝贝你别生气了
[2968.129] 我和虞姝啊只不过是逢场作戏
[2970.979] 而且奶奶的话我也不能不听啊
[2975.069] 我答应你
[2976.239] 我保证不碰她好不好
[2978.609] 真的当然了
[2980.83] 你又不是不知道
[2982.27] 我心里只有你一个人
[2989.24] 这店里新到的物品
[2992.56] 到时候让你心跳好不好
[2996.0] 这还差不多
[3001.04] 府中下人也太势利了
[3003.07] 今天我去拿新布做新衣
[3005.46] 结果显然说得让二姨太先拿
[3008.61] 不知道谁才是正妻
[3010.14] 谁是妾嘛
[3011.22] 陈桃夫人医生
[3015.64] 我们二姨太挑完了又了上素净的给您
[3019.12] 怕您误会
[3020.68] 二姨太特地让我给您送来庆祝
[3023.359] 这是司令举办集资会要进口的新鲜玩意儿
[3027.409] 您肯定没见过
[3030.72] 多谢
[3042.6] 她怎么会用这衣服颜色这么老气
[3045.84] 她其余额凭什么把这样丑的衣服给我们夫人呀
[3049.2] 不知道谁才正齐吗
[3050.9] 春桃姐姐这话说的正妻又如何
[3054.9] 司令才是司令
[3056.28] 死的天
[3057.21] 谁让我家二姨太得宠呢
[3073.36] 你要做什么
[3076.89] 小策啊
[3078.17] 我在司令府涨价5年
[3081.89] 哪怕是根野草
[3083.87] 我都知根知底
[3086.92] 你家主子知道你留在他身边
[3091.64] 是为了勾引司令大人吗
[3098.299] 啊你说得对
[3100.819] 司令就是司令府的天
[3103.789] 司令的宠爱就是一切
[3106.819] 既然府中已经有了个二姨太
[3110.799] 那我也不介意
[3113.019] 在我分一台四一台
[3117.519] 今晚司令不来我房间
[3120.06] 你生的如此貌美
[3124.84] 要是能被司令要了身子
[3127.51] 那可是泼天的富贵信手拈来啊
[3133.3] 小翠儿把握好机会
[3149.6] 你怎么在这虞姝呢
[3170.9] 停电码
[3178.77] 让别的女人勾引自己的丈夫
[3181.22] 还在外面听得津津有味
[3183.41] 嫂嫂可真行啊
[3186.11] 你怎么过来了
[3187.34] 万一被别人发现的
[3189.66] 你发电报说要黄云霄
[3192.09] 我的菜
[3193.26] 你又在玩什么好戏
[3195.74] 谢虽好
[3197.02] 但观众可不是云老板
[3199.78] 你扫扫试药
[3217.02] 今晚你不是要伺候司令吗
[3219.76] 怎么得空到我这儿来了
[3223.36] 妹妹送我的口
[3226.3] 我很喜欢
[3229.14] 得当面感谢才是
[3233.48] 感谢是假
[3234.89] 耀武扬威才是真吧
[3237.44] 司令答应过
[3238.88] 我不会碰你
[3240.68] 不批你能捡点
[3242.78] 我剩下的那是司令的爱
[3245.439] 你得不到一点是啊
[3248.919] 顾南晟
[3250.49] 他果然是不会碰我
[3253.64] 但他有没有可能碰别人呀
[3258.719] 你什么意思啊
[3260.179] 什么意思啊
[3261.859] 顾南晟此刻就在我的房间里面
[3267.14] 这夜黑风高
[3268.66] 干柴烈火
[3272.92] 跑得鸳鸯戏水的又会是谁呀
[3287.2] 这男人的与路边的野草本来的清净
[3295.42] 所有的甜蜜
[3297.9] 什么寒暑自由
[3300.76] 还念起司令
[3302.32] 有鬼出去
[3304.86] 这可是我用生命才明白的道理
[3314.64] 妹妹你的口红
[3317.36] 很喜欢我的怀里
[3323.22] 你想我
[3328.96] 顾南晟
[3330.34] 你在干什么
[3338.84] 去跳伞
[3340.06] 啊啊啊啊啊
[3352.25] 女二女王
[3360.52] 医生怎么样了
[3363.02] 二爷他的身体很脆弱
[3365.39] 随时可能把他定要保重身体
[3367.88] 开始我知道了就行了
[3375.16] 玉华
[3376.98] 别怪我这次都是一次能死呀
[3380.56] 是他给我下的偷欢香
[3382.6] 我才会那样的
[3384.399] 别怪我好不好
[3386.169] 我难受
[3387.32] 你答应过我的
[3388.34] 你都忘了吗
[3389.48] 你怎么能跟一个低贱的丫鬟
[3392.0] 你你身体好
[3395.399] 没生气
[3395.819] 老婆那个死丫头我已经解决掉了
[3398.459] 妹妹的身体可还好呀
[3405.48] 我问你做了这种事
[3408.92] 故意难受的是要好一个倒打绿卡
[3413.24] 我倒还没问问妹妹的下人
[3416.18] 为什么会下午回去
[3417.65] 你倒是先问起我来好了
[3422.82] 虞姝
[3423.86] 你来做什么难受
[3426.44] 我下午约了去拜访保家
[3428.66] 这马上就是集思会了
[3430.73] 咱们总得去拜访拜访办京城市3米吧
[3434.3] 到时候你就陪着黄先生先去打高尔夫夫
[3438.16] 我呢就陪着黄太太去逛逛旗袍店的衣裳
[3443.08] 那玉娥你好好休息
[3446.41] 我还有事情要处理
[3449.5] 是啊妹妹你要听男生的话
[3452.19] 3日后的集资会你就不用参加了
[3455.19] 我会陪这男生的好好休息啊
[3459.03] 妹妹
[3466.72] 谢谢王太太答应我们出席几次鬼
[3469.47] 我家先生最听我的话了
[3471.75] 好歹咱俩是世家交情
[3473.63] 全
[3473.99] 大家给你个面子
[3475.37] 诶
[3475.94] 不过最近半个京东都在船里
[3478.2] 先生宠妾灭妻
[3479.64] 这女人漂亮还真不管用
[3483.06] 黄太太乔布最近新上新品
[3485.779] 咱们自己瞧瞧走
[3493.38] 两位太太这边请诶
[3496.46] 这件是新货吧
[3500.86] 啊是钢板
[3504.07] 这件旗袍好好看啊
[3505.54] 顾先生
[3506.29] 我想要
[3509.24] 这不是冤好看吗
[3510.73] 万丹之中又带着女人出来逛街
[3513.28] 还想抢我东西
[3515.68] 袁老板
[3516.6] 这件旗袍是我们先挑中的
[3519.09] 能否割爱
[3520.12] 没听我家美人说吗
[3522.13] 她喜欢李云老板当年靠的金矿发家
[3527.5] 打家劫舍3年才有了如今的地位
[3530.48] 有钱是有钱
[3532.13] 但在我们世家眼里
[3533.78] 不过是个暴发户大的
[3536.03] 你有什么资格跟我抢
[3538.48] 给我包起来
[3542.2] 既然黄太太就到我公公
[3544.6] 大家进行了
[3545.98] 于老板过后有少帅之药
[3549.04] 咱们还是少到最好啊
[3551.34] 我这人生平最恨别人抢我东西
[3555.3] 这件旗袍我要定了
[3557.71] 李老板
[3559.035] 咱们好歹也算是一家人
[3561.39] 黄太太是我的朋友
[3562.92] 能否给个面子
[3565.68] 这样
[3571.34] 让给我吧
[3572.41] 这家店里的旗袍
[3573.79] 你随便挑
[3574.66] 选
[3575.02] 我买单
[3577.58] 顾先生
[3578.68] 我想了想
[3579.91] 这件旗袍我也没有恒系
[3581.41] 就亮了吧
[3583.16] 好
[3584.0] 那就给嫂子个面子
[3586.82] 让
[3592.04] 玉珠你这嘴可是雪月主
[3594.58] 那才怪
[3595.7] 居然送给这个勾栏女二
[3597.98] 那我也不能看着黄太太得罪顾昀长
[3600.23] 这顾昀无所不做
[3601.46] 背后也有少帅的地方
[3602.84] 咱们真的还是要少得罪
[3605.86] 今天算是我欠你个人情
[3608.22] 哪有什么欠不欠的呀
[3610.68] 要不先试试旗袍吧
[3615.9] 王太太是一间在二楼
[3629.92] 为何要让我与他争抢
[3631.71] 皇太太平日最坦诚人与他争抢
[3635.04] 这一次算是埋下了一颗地雷
[3637.41] 等下一次地雷就爆
[3641.24] 而且我也送了她一个人
[3643.66] 情有何不可
[3646.28] 是好集资会的邀请函我也收到了
[3650.14] 那到时候就有拿袁老板了
[3653.72] 嫂嫂记得我们约定长
[3662.34] 少帅
[3663.17] 您为何愿意帮司令夫人
[3664.94] 她很像我的一位故人
[3668.94] 若我的故人还活着
[3670.76] 应该也是跟她一样的年纪吧
[3683.5] 黄太太真是国色天香的
[3685.68] 穿什么都好看
[3687.02] 虞姝你这嘴可真甜
[3689.96] 不过这腰有点紧啊
[3692.7] 而且这衣裳得配红绫宝石才好看
[3696.44] 果然没有红缨宝石
[3698.54] 没关系
[3699.2] 黄太太衣服可以改
[3701.03] 红樱宝石
[3701.96] 我府上有
[3702.86] 等这衣服改好了
[3704.02] 这老师傅一并送给你
[3706.69] 这喉咙宝石可不便宜
[3708.85] 你不怕我弄丢了
[3711.42] 那肯定是送给皇太太了
[3713.94] 虞姝啊
[3715.02] 女人真好啊
[3716.22] 以后你这朋友我正了
[3726.62] 谢谢你不用买的红银宝石
[3729.98] 也谢谢你为我定制的旗袍
[3732.1] 我很喜欢黄太太
[3734.22] 已经答应让黄先生投资了
[3736.38] 不过这些都是你的功劳
[3739.44] 这样吧
[3741.68] 晚上我去你房间帮忙
[3746.38] 男生这妹妹险些滑胎
[3749.22] 身体孱弱
[3750.24] 你最近还是多少不照顾妹妹吧
[3754.68] 还是你懂事啊
[3755.78] 这样吧
[3756.26] 我现在还有些事情
[3757.94] 我答应你
[3758.86] 等到妻子会结束之后
[3760.81] 我一定好好走
[3763.38] 阿宝
[3766.92] 好
[3769.56] 就凭你也配跟我斗
[3772.52] 你居然敢踩着我上位
[3775.1] 你都偷听到了
[3778.12] 我新买的红宝石项链
[3780.48] 好看吗
[3781.17] 难受
[3781.68] 为我买的
[3782.73] 她还为我新定制旗袍
[3784.59] 花了10万大洋呢
[3787.56] 妹妹当我垫脚石的滋味如何呀
[3793.96] 文胜对你的爱也不过如此
[3798.32] 你别得意
[3800.56] 我肚子里可是怀了司令的骨肉
[3803.06] 有这张底牌在你斗不过我是我的东西
[3810.63] 别想抢
[3819.16] 这是我家夫人的衣服
[3824.4] 这是我用口红生意挣来的钱买的
[3827.46] 还余叔没资格穿
[3828.99] 你有本事去告状了
[3831.21] 看看司令帮的是谁
[3840.04] 只要这次能够成功集资1000万
[3843.12] 我就能进口口红
[3844.32] 这段时间奔波
[3846.34] 辛苦你了
[3853.18] 好
[3856.02] 看到你们如此恩爱
[3857.55] 我和你娘啊也就放心了
[3860.2] 男生啊
[3861.43] 以后你可得好好对我们在一起啊
[3864.19] 您放心吧
[3865.28] 虞姝呢是我唯一的妻子
[3868.19] 我自然会好伤害虞姝啊
[3871.24] 你瞧瞧男生还是挺爱你的嘛
[3874.88] 以后你可别东想西想的了
[3878.12] 很难受
[3878.96] 把小日子过好
[3880.4] 我们就放心了
[3881.32] 放心吧
[3882.16] 爹我一定会听你的话的
[3886.24] 唐三好久不见了
[3891.82] 顾云
[3893.52] 你小子怎么来了
[3894.93] 我听说你最近风头很盛
[3899.1] 唐哥你风光了
[3900.87] 听闻堂哥的生意在半京做的是风上水起
[3905.41] 破了这集聚会
[3907.02] 我怕就不是疼在你的对手了
[3909.75] 确实是如此
[3911.1] 毕竟我是半精司令
[3914.58] 而你呢只不过是少帅手下的一个生意罢了
[3919.41] 我顾南晟啊
[3921.58] 可不习惯给别人当狗
[3926.4] 行了别再闲谈了
[3928.58] 皇太太来了
[3931.24] 黄太太黄先生
[3932.64] 你们来啦
[3937.94] 洪太太
[3939.02] 你怎么没穿那天选中的旗袍呀
[3942.31] 项链怎么也没带
[3944.62] 你别提了
[3945.94] 裁缝破仑说
[3947.08] 路上遇见贼人抢了去
[3948.85] 项链也快丢了
[3951.68] 郭太太
[3952.51] 你放心
[3953.23] 我已经派人去调查了
[3954.82] 绝对不会放过这个偷项链的主角
[3964.52] 南少我来了
[3967.8] 完美的女主
[3969.08] 她是谁啊
[3969.92] 讲的是哪家阔太太吧
[3971.42] 没见过啊
[3981.039] 其他到下面来的
[3982.769] 你就是那个贼人
[3984.419] 你是谁
[3985.33] 两人抢我的东西
[3987.22] 你是谁呀
[3988.81] 胡说八道什么
[3990.7] 这是怎么回事啊
[3992.17] 这件旗袍是那天我跟皇太太逛街手挑选的
[3996.52] 这件项链
[3997.529] 也是我送给父天天旗袍
[4002.399] 当出府是我家美人看展
[4004.47] 为了让这件旗袍
[4006.09] 司令夫人可是把他的血手镯都送给我家
[4011.27] 没人了
[4012.399] 司令你解释一下吧
[4014.649] 这个你不试试
[4016.149] 红夫人
[4016.989] 你听我说呃
[4018.74] 这个人他是是我堂哥的二姨太
[4023.76] 唐哥啊
[4024.72] 换这个金子会看来你是真缺钱了
[4027.6] 否则自家二姨太怎么会干这种勾当
[4033.8] 没有男生
[4037.36] 我以为是虞姝的
[4040.12] 你以为是司令夫人呢
[4042.18] 所以你就抢了去
[4044.88] 我平生最看不惯你这种真诚的进货
[4047.38] 黄太太是半斤数一数二的世家
[4049.72] 得罪皇太太
[4050.89] 这集资味还能完成吗
[4052.6] 没有还她太投资
[4053.92] 这集资他是男的
[4056.16] 起码冲起来就是我的大家
[4065.03] 您最瞧不惯的就是宠妾灭妻的男人
[4068.35] 上次约定的投资自由化
[4071.81] 老公我们走
[4073.42] 司令你家二姨太身上这件旗袍我们不要了
[4079.18] 我媳妇姓张
[4080.95] 我们走啊
[4082.66] 黄太太黄太太太太太太哦
[4086.3] 蓝湛都是云叔帅气
[4088.52] 我的
[4091.22] 算计你
[4092.42] 你找丫鬟来上我父亲的床
[4094.91] 也是我孙天明日府里的首饰和旗袍
[4099.04] 倒是你先挑选的
[4100.75] 也是我算计你妈
[4102.64] 这二姨太未免太不懂事了
[4105.419] 虞夫人可真能忍
[4107.489] 换作是我在家里已经鸡犬不宁了
[4111.119] 果然是红颜祸水大叔
[4114.09] 你说他说的是真的吗
[4115.8] 这事你都不管吗
[4121.26] 实在对不起
[4122.57] 以前是我不对
[4124.49] 我向你保证
[4125.6] 我以后会好好对刘宇说的
[4128.19] 这样吧
[4129.56] 我让玉娥渔夫下跪道歉以后
[4133.87] 如果我再亏待余叔
[4135.52] 你就自尽
[4137.38] 当场行
[4138.54] 说的都是真的
[4140.19] 当然是真的爹
[4142.8] 只要这场集资会举办成功了
[4145.14] 我一定好好补偿一书以后
[4149.109] 你只能行啊
[4151.179] 好吧
[4152.229] 给我相信男生
[4154.82] 你说过家和万事兴
[4158.12] 我要做的就是当好这个司令夫人虞姝啊
[4163.52] 你现在懂事多了
[4166.42] 不过这个皇家现在肯定不能给男生投资了
[4173.62] 那500万的项目
[4175.359] 不说小富啊
[4176.949] 哪怕在场所有的人都投资也达不到啊
[4180.969] 这可怎么办呢
[4184.82] 我头子我头子
[4192.88] 什么你红紫口红生意确实不错
[4199.48] 我愿入手1000万
[4202.62] 如何知道吧
[4204.9] 你不是在说笑吧
[4207.2] 1000万你舍得头
[4209.7] 云老板虽然是做地下买卖的
[4212.42] 但生意并不是个办
[4214.1] 女主
[4214.55] 别说1000万的
[4215.84] 一个亿都能拿得出手
[4217.67] 如何呀
[4219.8] 可不可能当地我们3年之前有一定的误会
[4225.94] 如果你想明释前嫌的话
[4228.94] 当然在你
[4232.9] 需要跟堂哥玩一个游戏
[4235.18] 什么游戏
[4239.16] 俄罗斯轮盘
[4249.52] 袁老板是不要命了吗
[4251.3] 万金城除了少帅外就不司令的枪法最厉害
[4254.99] 司令的俄罗斯轮盘赌就没输过任何人玩枪而已
[4259.31] 生意人怎么干得过军人啊
[4264.14] 顾昀啊
[4265.42] 怎么你想跟我赌命
[4272.94] 我顾昀最喜欢写自己堂哥
[4280.72] 哈哈哈哈哈哈哈笑话
[4286.62] 别
[4300.74] 父母
[4326.08] 我要玄烨安哥
[4329.49] 我演这个姑娘没
[4338.28] 你要不直接认输吧
[4359.51] 突然想到一个更好一点
[4376.68] 大哥
[4380.64] 选一个吧
[4383.919] 快把枪放下
[4385.229] 你们他就是个疯子
[4386.789] 别为了抢生意
[4387.989] 弄出人命就不好了
[4389.639] 快放下
[4390.449] 林先生
[4391.92] 难道不想知道他到底会选谁吗
[4403.36] 女生不要选
[4405.18] 我屋子里有你的骨肉
[4415.62] 难受
[4417.44] 我相信你的他你都快打上去了
[4422.08] 好看说什么傻话呢
[4424.22] 好难受
[4425.57] 你快把枪放下
[4427.01] 难道你被离千万就杀了虞姝吗
[4429.83] 闹口你快上去好看
[4433.34] 娘男生的生意需要钱
[4437.84] 老板我身为她的亲
[4440.26] 应该没太好看
[4442.45] 你疯了
[4443.5] 好看就看手机
[4445.5] 韩哥你可是摸过千万次
[4448.08] 讲哪个弹夹有子弹
[4452.22] 你很清楚
[4454.53] 我相信不会还是双方的行为
[4458.18] 我知道你是在给我下套
[4461.16] 想等着我上钩对吧
[4463.24] 哼我才不会上当
[4465.31] 我投资3000万
[4467.9] 你现在放下心
[4469.34] 为何遇见所隔阂的
[4471.47] 但是只要你赢了没有
[4475.94] 不是赢了3000万
[4483.5] 那叫你可千万不要去跟他的好
[4486.64] 不要听他的
[4487.66] 把枪放下
[4489.6] 你忘了曾经说的话吗
[4492.56] 爹我生是顾家的
[4496.73] 死是顾家的国
[4502.16] 我相信我的丈夫
[4503.89] 他不会是说身为一个好妻子
[4507.1] 我不应该在任何时候丢了我丈夫的颜面
[4512.64] 你就是我爹
[4515.34] 这可是爹
[4516.24] 您教育我的呀
[4517.83] 别干啥事
[4520.54] 难受
[4523.38] 大家
[4540.38] 强哥输了
[4549.18] 嘿嘿别说没事吧啊你家傻孩子
[4555.02] 你怎么能干出这种傻事啊
[4557.42] 啊你要是有个三长两短
[4559.88] 我和你母亲可怎么活呀
[4577.26] 难受
[4578.42] 你这个畜生不知道就好
[4583.3] 你还真敢跟玉树开枪啊
[4587.0] 那不是你的妻子啊
[4588.82] 可是你还算什么人吗
[4591.5] 你听我说你好看
[4594.89] 你女主好姐姐
[4596.54] 我你宠妾灭妻
[4599.76] 我知道睁一只眼闭一只眼
[4602.07] 没想到我们不输的性命都不顾
[4606.58] 我错了
[4607.66] 你给我一次机会
[4609.1] 你爹你没错
[4612.82] 我错了
[4616.78] 总不该丢玉树嫁给你
[4620.0] 我差点害了我女儿的病
[4624.32] 余先生深信
[4626.2] 今天你也看到了
[4627.61] 若虞姝
[4628.36] 再继续下去
[4629.86] 他只会生活在水深火热之中
[4634.53] 不许我知道了
[4638.46] 是你背一辈子吗
[4640.92] 我们想掌握日记大少
[4645.74] 你是当我瞎吗
[4648.26] 这还需要挑拨离间
[4650.58] 我突然看见王者将要杀死虞姝
[4655.52] 你快给我解释
[4658.42] 不能删
[4662.56] 你把我们家里说当什么人了哈哈
[4665.52] 是不是有孩子
[4666.81] 他的孩子和现在一起差点救了他的性命
[4675.059] 叔叔你要同意了
[4680.399] 要同意你跟他离婚
[4684.6] 明天说什么不算什么
[4686.62] 哎咱们余家的颜面不需要您的性命来担保
[4693.06] 娘娘真希望你能好好活着呀
[4697.28] 行行
[4707.8] 我宣布从今天开始
[4710.91] 我于家她不加绝交
[4715.16] 我女儿有一日会跟顾南晟离婚
[4720.54] 今天参加集送会的所有人
[4723.11] 谁敢给顾南省通关
[4725.72] 你要是跟我欲犯过罪
[4732.57] 司令余家
[4734.09] 既然不投资了
[4735.74] 那今日我们就先走了
[4738.59] 我也走了
[4740.03] 我也走了
[4743.5] 你走了别走了别走
[4748.16] 老爹我求你了
[4751.61] 我不给我次机会
[4752.93] 让你说着我离婚
[4754.25] 我求你了
[4755.12] 你爹娘
[4756.05] 你你不回
[4757.62] 谁听你爹
[4759.0] 你是透气
[4762.6] 老子
[4769.46] 别求人
[4770.57] 我可以帮你啊
[4771.65] 男主我找不
[4777.54] 我本来不想要分人的衣服
[4779.58] 就女主大家
[4787.78] 崔娃这么装什么装你你你给我装柔弱是吗
[4793.67] 你宋江不要让你爹女主脚
[4797.66] 你懂是吗
[4798.74] 不是所有说的果然是对的
[4803.24] 因为我的女子有人逼贱呢
[4809.259] 蓝湛我要下了南山
[4814.52] 看清楚了吗
[4817.42] 这就是你爱你的
[4821.68] 是你设计的
[4823.35] 我知道你是谁
[4826.0] 只不过我很好奇
[4829.08] 这通往未来的女子为何会沉迷于他
[4834.54] 好男人啊
[4835.82] 你是谁
[4837.26] 你怎么知道我
[4842.72] 是你从未来而来
[4848.4] 而入我可是从鬼门关走过来的
[4855.139] 永恒你彻底输出
[4861.999] 走慢慢
[4866.099] 司令夫人和司令离婚了
[4867.949] 真的假的
[4868.819] 我看看是真的
[4871.41] 怎么会这样
[4872.43] 不会吧
[4873.18] 怎么会这样
[4874.02] 怎么会离婚呢
[4876.84] 您说虞姝
[4880.959] 就嫁到我们公家5年了
[4883.179] 难道说5年的朝夕相处
[4887.48] 你都没有半点留念吗
[4896.01] 你以后和高专武又得做你的司令夫人别走好吗
[4901.92] 顾老太太
[4903.2] 老夫人好好照顾自己吧
[4906.34] 这可怎么办
[4910.24] 估价以后没有与书的日子可怎么办
[4914.9] 走着瞧吧
[4916.18] 想离开顾家没那么容易
[4919.5] 哼
[4920.88] 你马上去给我哥哥留全发电报
[4923.49] 让他马上过来阻止于叔离开
[4926.64] 顾家好
[4928.3] 我这就去
[4929.689] 少帅
[4931.149] 北海的军火已经准备好了
[4933.159] 18号就可以运回半径
[4935.679] 先准备一下
[4936.519] 还有刘全
[4938.49] 刘提督已经在回北京的路上了
[4941.04] 他可是顾南城祖母的哥哥
[4943.11] 不知道此事
[4943.98] 叔叔知道吗
[4946.08] 叔叔可余小姐不知道
[4952.15] 刘全在整个一被窝散人心思缜密
[4958.0] 还无法拿捏你的把柄
[4959.65] 你也曾经如此
[4960.97] 才隐藏烧出来的身子
[4962.71] 刘谦的贪污证据已经在收集当中了
[4967.38] 要害对了
[4970.059] 您的叔叔也老
[4974.9] 米小姐请喝茶
[4982.82] 恭喜离婚
[4984.13] 接下来你打算怎么做呀
[4988.14] 于老板可否知晓少帅的军火
[4991.46] 18号会从淮海运输回半径
[4996.66] 怎么了
[4997.53] 半月后淮海会出现风暴潮
[5001.11] 为期一个月
[5002.34] 我想请于老板包拯告少帅
[5005.34] 切勿在此期间运输
[5009.18] 你为何知道淮海前世
[5013.12] 顾南晟的货物原本会在28号出发
[5016.04] 因少帅身穿
[5017.36] 他提前得知风暴潮
[5019.01] 避免了此次危机
[5023.44] 抱歉我暂时无法告知袁老板缘由
[5028.53] 但是你相信我一定信
[5038.9] 对了
[5039.94] 顾南晟此次计划失败
[5043.03] 他不会轻易放过口红吧
[5045.46] 你接下来打算
[5046.92] 我
[5050.7] 想请袁老板可否帮我借到
[5054.95] 要出妹妹的行为
[5057.74] 顾南晟
[5058.46] 他习惯靠别人上位
[5060.05] 尤其是女人
[5061.04] 这先是我后事情惹
[5064.64] 如果这个时候再出现一位有权有势
[5068.56] 且年轻貌美又爱慕他的女人
[5071.95] 那她一定会抓住这个女人
[5074.53] 若此时这个女人在菜场耳边吹吹风
[5078.96] 告诉他变卖所有资产
[5081.24] 抵押房产
[5082.5] 借贷投资百万
[5083.99] 那顾南晟一定会为了得到这个女人
[5087.26] 更何况这个女人还是少帅的秘密
[5090.4] 他一定会造反
[5091.84] 寇国商船经常会出现在淮海后
[5095.8] 国人烧伤情略死不足惜
[5098.86] 如果顾南晟真的将所有资产全都去拿
[5102.1] 去进口口红
[5103.63] 那他的发财梦将会在淮海风暴期沉入海
[5110.76] 好好好
[5114.12] 这件事我会帮你做
[5115.98] 但是嗓子别忘了让他承诺
[5139.28] 林老板需要我做什么
[5143.62] 我希望叔叔能够开心啊
[5147.05] 记得我第一次见到你
[5149.12] 是你出嫁的人
[5191.86] 笑面粉容易消化
[5193.76] 那是我见过世间最明媚的笑容
[5200.6] 可是少帅之后叔叔不爱笑
[5204.37] 我希望说出府仇心愿能够达成
[5208.48] 斩断共同尘埃
[5210.43] 连你的阴霾散去
[5212.27] 再次展露欢喜
[5214.3] 小能
[5216.92] 我小心脏
[5226.4] 我先走了
[5232.74] 不
[5235.8] 好意思
[5242.08] 余小姐
[5242.91] 您的玉佩
[5250.2] 医生有说什么叫小姐
[5253.28] 你最多只是想你了吗
[5255.32] 一切安好
[5258.38] 少帅顾南晟来了
[5266.5] 这不是堂哥吗
[5268.08] 稀客呀
[5270.48] 不是你还记不记得这块玉佩服
[5276.82] 这玉佩怎么和余小姐姐一模一样
[5281.76] 父母当年去世
[5282.84] 李欺负年幼时的我
[5284.44] 抢走了皮
[5285.85] 怎么现在还在我面前想着
[5288.4] 你想不想知道你
[5290.4] 你以为的是谁
[5296.16] 快来看我的人头怎么搞
[5300.63] 我想知道这个乐队的主人
[5303.11] 一定对你来说很重要的
[5305.33] 这样吧
[5306.59] 咱们做笔交易
[5308.08] 谁让你尊重你
[5309.1] 做生意
[5309.82] 我保证你
[5311.0] 我立马告诉你预备的主人是谁
[5317.24] 笑什么
[5319.12] 太了解了
[5320.31] 你是什么样的人
[5321.48] 我再清楚不
[5322.86] 即使我给你投资了
[5325.78] 你也不会告诉她的
[5327.7] 如果是这样的话
[5328.96] 那你这辈子都别想知道她是
[5332.64] 只要她还活着
[5334.22] 我就能找到他好了
[5340.56] 现在你可以走了
[5345.17] 香儿顾昀
[5347.16] 咱们走着瞧
[5354.78] 少帅
[5357.8] 玉佩的主人是你日思夜想的人物还是阿念呀
[5365.58] 少帅交给你个任务
[5367.97] 你以少帅妹妹的身份是觉醒过男主
[5374.48] 你刚才说什么没什么
[5378.76] 少帅还让我这么做
[5380.55] 是为了余小姐吗
[5383.7] 这不是
[5384.0] 你看看我哥刘全拒绝投资你的生意
[5391.42] 他说少帅盯他盯得比较紧
[5394.3] 他不方便投资
[5395.92] 但是他能把虞姝帮你追回来
[5404.4] 祖母就算虞姝回到我身边
[5408.08] 又有什么意义
[5409.65] 现在整个半径的上林层圈
[5412.48] 没有任何人愿意跟我
[5414.82] 顾南晟合作
[5419.02] 听见的都怪你
[5422.25] 是你让我在几次会上成为了所有人的笑柄
[5427.52] 怎么现在您满意了
[5433.25] 晚上再过了几句话让我难受
[5438.28] 我男神
[5444.01] 那
[5446.83] 不是宠妾灭妻的司令
[5448.66] 听说把生意搅黄了
[5450.5] 活该
[5451.46] 现在搬进城
[5452.6] 谁还敢跟他做生意
[5454.28] 你
[5459.98] 是谁啊
[5463.12] 你干嘛
[5463.9] 苏小姐一排哪去了
[5465.28] 苏宁小姐是上山最疼爱的妹妹呀
[5467.67] 快找啊
[5468.36] 要不然我们人头落地啊
[5477.28] 谢谢你了
[5478.2] 顾司令
[5479.12] 这位小姐
[5480.74] 你认识我少帅的妹妹
[5485.0] 我当然认识司令了
[5487.16] 司令年轻有为
[5489.17] 只可惜英年早婚
[5492.12] 月小姐
[5493.47] 你是不是误会了
[5494.79] 本人现在是离婚人士
[5497.76] 那这么说
[5499.89] 我有机会了
[5503.82] 是啊
[5513.69] 对了不是小钱
[5515.87] 你说我们都已经有夫妻之实了
[5519.9] 我什么时候去少帅府提亲呢
[5522.73] 我哥哥的要求很高
[5526.0] 您刚离婚生意又集资失败
[5530.08] 他恐怕不会允许
[5533.28] 不是都是因为我没有资金呢
[5535.7] 如果我有资金的话
[5537.639] 就凭我的口红声音
[5539.439] 就算成为半径的首富
[5541.49] 也只不过是时间的问题呀
[5543.47] 想要资金很简单
[5545.25] 你把顾宅抵押出去
[5547.32] 资金不就来了吗
[5549.92] 你想想啊
[5551.35] 别人看你口红卖得好
[5553.09] 难道不会眼红吗
[5554.56] 生意可别让人抢走了
[5558.0] 把你的家当都抵押在生意上
[5560.66] 28号是我的生日
[5562.3] 我会开假面舞会
[5563.74] 宴请全城名流
[5565.27] 宣布你是我的未婚夫
[5571.3] 张小姐请
[5577.92] 奶奶让我慎重对待
[5579.84] 和林老板的相亲会
[5582.84] 我一个出过国的世家千金
[5584.94] 还怕他看不上我
[5586.6] 袁老板毕竟年轻多金
[5588.79] 半斤世家女都想往他身上贴
[5591.82] 他最近好像和瑜伽千金走得比较近
[5595.88] 瑜伽小姐
