[0.58] 对面这个队伍有沙暴
[2958.6] 什么破技能都不接触的帮助哇
[2961.78] 哦你这是
[2967.39] 帮助气球
[2970.78] 点杀770
[2972.02] OK啊行
[2974.46] 这个没带过热
[2975.3] 但他帮助还是把你点了
[2977.96] 烟蹦
[2978.78] 直接崩死
[2979.52] 喷火龙
[2980.18] 那你说赚不赚
[2981.91] 你以为我没空间就不能打了
[2984.11] 是不是
[2984.83] 其实还是有点亏啊
[2986.45] 这直接给他打死了
[2987.91] 又把机器人给秒了
[2991.039] 后排的话他是那些个蛐蛐儿上
[3006.68] 给忙碌的指令开通的超粉
[3012.42] 哎呀他都威吓一下呀
[3014.06] 难受哇
[3019.7] 白色香草
[3024.38] 不跟你废话
[3025.3] 直接推猛扑
[3035.7] 你以为跟你开玩笑呢
[3038.26] 对面直接抛我一下
[3042.26] 看最后这谁啊
[3049.18] 原来是地龙啊
[3052] 原来是地龙啊
[3053.58] 然后精神冲击打一下
[3057.9] 击中要害了
[3060.81] 哇哦我才不要命呢
[3063.93] 我直接秒杀了
[3064.73] 击中要害了
[3065.17] 我也进入要害了
[3066.11] 你刚刚不是进中要害了吗
[3067.37] 那我也进中要害了
[3071.28] 那你可糟了哟
[3076.62] 他琪琪是没啥输出的啊
[3078.58] 一个神仙兔子伤害不错啊
[3080.24] 那我马上走了呀
[3082.7] 你吃你的文艺果呗
[3084.38] 我马上就走
[3085.72] 你有巨人保护一下
[3087.2] 那就是我威吓你了
[3088.5] 你最后两只了嘛
[3089.5] 咆哮5770
[3090.93] 这个齐西林是没有输出的
[3093.73] 你随便威吓我们
[3097.189] 先保护一下切煤炭龟
[3100.949] 他带的基因冲击啊
[3102.269] 那正好煤炭龟的物防高
[3105.909] 然后你有巨人再下曲
[3107.269] 再切咆哮虎啊
[3108.629] 现在就我说了算了啊
[3114.28] 好齐景林怂一下哎呦
[3115.88] 大带保护
[3116.56] 我也带了保护
[3117.2] 其实
[3123.16] 我有近战的
[3124.08] 你别忘了他闪现冲锋
[3127.45] 那这里来个气球
[3128.77] 习西林就点咯
[3132.2] 单点气象球把770给点了
[3136.12] 随便点掉啊
[3142.88] 这你有巨人呐
[3144.4] 你这无影拳
[3145.12] 不如换一个不服输啊
[3147.68] 唱反调吧
[3148.68] 唱反调好啊
[3149.76] 唱反调才是该给你有巨人的
[3151.6] 不然太没有特色了
[3153.11] 唱反调推猛扑打一下
[3154.75] 加双防诶
[3155.53] 这是不是有说法
[3156.47] 那何止有说法
[3157.23] 那简直起飞了
[3158.11] 直接哦
[3158.97] 你也近战了
[3159.75] 兄弟可以啊
[3161.8] 你也会近战
[3162.52] 原来啊他也带近战了
[3165.8] 那你降双防是不是不太好
[3167.46] 他甚至没有白色香草
[3168.96] 他也敢带近战
[3170.95] 没白色草
[3171.75] 你带个屁的近战
[3177.98] 点掉
[3181.6] 我们击掌加上气象球点
[3183.36] 他我还击掌
[3185.95] 你一下你有啥了不起的
[3187.69] 然后我再来个单地喷火
[3189.31] 单地喷火威力是不是高点高点啊
[3235.24] 对面是双飞帮我选的
[3236.86] 我们这他的速度非常的快
[3238.66] 哎如果我们开出空间啊
[3240.6] 那就是优势比较大呀
[3242.16] 说实话
[3244.6] 对不对
[3245.32] 那我们怎么上来K空间呢
[3248.4] 呃他这边秒我们的可能性不大啊
[3250.8] 直接这么上比较好
[3254.42] 三朵的话就吼高音
[3265.18] 所以你有巨人
[3266.34] 你有巨人
[3267.06] 这不被干穿了
[3267.94] 你有巨人上把无影拳的
[3270.78] 好歹是这无影拳没什么用嗯
[3274.58] 林骚不触发
[3275.54] 岩崩不触发
[3276.26] 就有个推猛扑触发
[3277.48] 你不尴尬吗
[3310.3] 觉得防威吓特性最好都没有防威吓的
[3327.38] 对面直接双飞帮我选啊
[3328.98] 这个没有关系啊
[3329.94] 我们直接拍住忍者王
[3331.14] 然后就开就完事了
[3332.78] 然后咆哮作为一个打手
[3340.2] 希望空间开
[3347.42] 其实我看你血要你那个垃圾力度也不咋地
[3355.2] 他不会是马嘎甲和人挖吧
[3361.18] 好的我就知道要走切咆哮虎吗
[3364.38] 哦贴桥龙啊哈哈
[3366.62] 因为你要拍就拍左边吧
[3368.26] 那这里拜拜咯
[3370.56] 当场先把小李给宰了
[3372.62] 他说我先开极光幕
[3373.68] 极光幕打死你
[3379.68] 降血随便帮
[3382.36] 我也直接吹
[3382.84] 无所谓啊
[3383.56] 无所谓
[3384.26] 没伤害的
[3389.72] OK死秒杀
[3392.54] 直接说我去
[3393.14] 这力度这么猛啊
[3394.36] 你看看这掉血速度
[3395.9] 你就看得出来我什么咆哮虎啊
[3397.78] 本息120威力闪现冲锋
[3400] 现在我不叫华姐
[3401.16] 我叫飞狗
[3404.48] 开口这么开
[3405.32] 忍者娃死定了
[3406.04] 忍者蛙
[3406.64] 这个死人者娃他就死定了
[3408.54] 而且还节约一波空间
[3409.88] 对面还有三个人舒服啊
[3418.88] 嗨咆哮虎
[3420.56] 咆哮虎就咆哮虎吧
[3422.28] 这里封印一下啊
[3424.44] 还能封印吗
[3425.38] 白象恢复能力啊
[3426.52] 尽量直接干
[3427.22] 但是没有带帮助
[3428.2] 因为啊这个
[3431.39] 齐齐麟恐怕要阵亡了呀
[3433.91] 真没阵亡的
[3434.59] 封印一下吧
[3435.15] 没事干了
[3437.64] 后面是泥有巨人
[3442.56] 和煤炭龟
[3447.04] 近战锤了
[3448.34] 不管干就完了
[3450.76] 他有个忍者娃
[3451.44] 这忍者娃根本不敢上来
[3452.44] 因为忍者娃垃圾啊
[3459.3] 直接切人准备开干
[3460.9] 你乔龙能干个屁啊
[3462.68] 我直接得得得得
[3464.859] 虽然伤害不高啊
[3466.099] 我打死了吗
[3467.159] 机外了吗
[3469.56] 金元害了
[3470.36] 我说真该打不死啊
[3471.28] 非本下百四维里
[3472.16] 他打残就行了
[3473.14] 打残以后煤炭龟喷火就清场了
[3475.3] 所以机会给打死了
[3478.06] 我白色香草的
[3479.2] 我牛逼
[3480.06] 还是你牛啊
[3482.18] 杀了我伟打雷直接裸裸打雷命中了啊
[3487.03] 晴天他他他这个队根本就没有什么
[3489.67] 他也打雷啊
[3493.34] 那就再见了
[3494.58] 你有巨人加煤炭龟
[3496.52] 我有无影拳啊
[3498.78] 扣嘎扣嘎
[3502.85] 打死你个扣嘎喷火口嘎是吧
[3510.21] 死吧
[3515.84] 晴天打雷
[3517.02] 他利用这游戏随机数比较高
[3519.52] 我种催眠粉
[3520.8] 我都真的没有miss过
[3521.96] 我不知道为啥对面催眠粉命中率特别的高
[3527.1] 打雷50%命中率啊
[3528.7] 也打中
[3529.18] 打中就打中呗
[3531.31] 因为一开始就转回合了嘛
[3533.25] 空间开出来
[3534.19] 然后对面只有掉了一个人
[3535.43] 只有三个人
[3536.11] 那剩下的时间那不是打的很快吗
[3538.29] 这里只需要压那种喷不动的血线
[3540.43] 像咆哮舞的血线
[3541.49] 你喷不动它
[3542.09] 它是火系的
[3542.93] 我们需要尽量压他血线
[3544.33] 然后再来喷他就行了
[3546.46] 死了就上后排的空间还很多啊
[3549.68] 今天谁都别想跑好
[3551.8] 直接喷
[3552.16] 那就呃晴天喷火看怎么样啊
[3555.71] 强龙直接喷死啊
[3556.61] KA的话呃水系的
[3558.85] 但是也跟他给快给他喷死了没什么区别
[3562.95] 吞猛扑
[3563.59] 但是不会miss啊
[3564.59] 还是满命中
[3565.51] 只是有个副作用
[3566.61] 如果你满你这个有副作用
[3568.51] 还还命中
[3569.11] 还不满
[3569.65] 那还这玩个屁啊
[3574.2] 你有军人太大了以后
[3576.32] 从左边上来吧
[3577.58] 在右边把视线都挡完了
[3582.6] 那催眠粉我是遇到过这个妙花
[3586.28] 发现他催眠粉都不miss的
[3588.17] 你醒来在一至两睡一回合以后
[3590.33] 一至两回合内醒来啊
[3591.71] 醒的那倒是挺快
[3593.15] 但是他催眠粉就是不miss
[3595.93] 配合这个歪喷催眠粉
[3605.44] 雨天水箭龟唉
[3606.84] 麻烦得很
[3607.7] 还有个770
[3613.56] 那他来封印呐
[3615.06] 那三朵上吧
[3616.12] 你要封印的话
[3616.92] 后面煤炭龟这一只虎啊
[3619.87] 这么四只了
[3622.21] 直接吼呗
[3624.01] 水箭龟喷水还是很危险的
[3625.61] 或者破壳啥的
[3635.36] 他只有马嘎水箭龟
[3685.36] 其实可以挑衅他也可以啊
[3687.04] 挑衅他开空间也是可以的
[3688.94] 呃这里就直接咬他一口
[3690.84] 把水温点了吧
[3694.26] 其实你想点啥不重要
[3714.44] 感谢分区蓝猫送的十个粉丝牌
[3716.08] 非常感谢老板动喷水是不可能喷水的
[3722.78] 哎呦还真敢喷水啊哈哈那半血喷水也是喷水
[3726.88] 伤害还可以啊
[3728.14] 那就吼死他嘞
[3729.81] 击中杀手要害了行吧
[3732.69] 半血按理说没力度
[3733.65] 看来是要反开我空间了
[3735.15] 好时间
[3735.69] 我就吼死了
[3737.509] 他这种喷水的高速水箱可以开空间吗
[3741.67] 哦封印啊
[3742.87] 还有封印空间
[3743.71] 封印高音了是吧
[3744.85] 他把我高音给封印了啊
[3746.43] 真是够无耻的
[3748.24] 他还封印我
[3749.36] 我没挑衅他
[3750.04] 我因为点水箭龟啊
[3751.64] 他大嘴鸥来
[3757.06] 看能不能点高音哦
[3759.7] 点不了封印了
[3762.02] 这个可以点哦
[3763.26] 也封印了
[3765.39] 哎呦
[3765.91] 你带的技能封印戏法空间经常见高音是吧
[3768.67] 就给封印完了呀
[3769.87] 那玩个锤子呀
[3772.16] 他给我封印完了
[3778.84] 先咬他一口吧
[3780.99] 他全部封印了啊
[3782.87] 全部封印了
[3784.03] 那我说我点大嘴鸥可以点了
[3786.39] 哎这就难受了
[3792.64] 学习临走呃
[3794.16] 反正天气倒是我的
[3799.72] 不能让咬一口过半
[3804.18] 他气球点鼠鼠
[3808.86] 点不掉
[3813.52] 你点不掉我
[3814.52] 我可点的掉你啊
[3821.04] 香球
[3825] 看我妈
[3828.24] 大嘴又走
[3829] 然后卖了770
[3830.08] 要雨天
[3832.22] 哎呀幽尾玄鱼怂一下啊
[3836.57] 要雨天
[3837.41] 那这样也是好事啊
[3840.33] 那把他点了啊
[3841.09] 把他点了
[3841.71] 他又尾玄鱼又是个悠游自如的
[3846.04] 然后把左边点了
[3849.96] 直接击杀啊
[3850.96] 这个死七级灵把我所有技能都封印了
[3853.28] 哎真是给我气的呀
[3854.56] 这一个都点不了
[3860.84] 大嘴鸥来来我得走
[3865.14] 我当然得走
[3867.54] 后面的话是咆哮虎
[3871.6] 呃威吓一下
[3872.72] 然后
[3875.19] 他扫我墓啊
[3877.39] 我这空间开不了啊
[3882.72] 这边保护一下
[3888] 你卖人你卖谁嘛
[3902.52] 是不是得卖30朵啊
[3904] 水力喷射加气象球对吧
[3908.98] 要么卖这个啥
[3912.8] 啊没点死
[3919.58] 击掌
[3925.08] 挑衅
[3935.06] 大嘴鸥怂一下哎呦
[3936.82] 大嘴鸥怂一下
[3947.1] 这人把叔叔给冲了
[3989.9] 准备扫墓
[3994.16] 这边一边点一个啊
[3996.56] 扫墓的话扫得死我呀
[4002.06] 啧应该保这个咆哮虎和宝
[4006.81] 咆哮虎和煤炭龟啊
[4007.97] 把上一朵和鼠鼠给卖了
[4010.48] 虽然我们四打二
[4011.44] 但是我们没有出手权啊
[4013.06] 完全没有出手权
[4014.52] 他扫墓扫山一朵
[4021.28] 现在不一定是他快啊
[4026.72] 喷吧高音
[4034.88] 好他快一些啊
[4035.84] 那就扫死
[4041.7] 哦咆哮和煤炭龟拿天气
[4044.14] 这两个的话应该还可以打他气象球接着打
[4049.4] 伤害不高
[4057.7] 啊喷一波大嘴鸥倒是死了
[4059.54] 但因为玄鱼打不动
[4072.6] 还有送的16个魔法引擎和玫瑰印记
[4074.96] 非常感谢老板
[4079.98] 还可以啊
[4080.66] 煤炭龟他是悠游自如的嘛
[4082.44] 一开始看到了水流喷射
[4084.14] 扫墓冲动和保护四个技能啊
[4086.58] 还是不够啊
[4089.77] 我只能拼一个击中要害
[4093.129] 刚应该保袍酒和煤炭龟啊
[4095.109] 因为这两个人是满血
[4096.549] 如果拿到天气的话
[4098.189] 他这边打不死我们
[4106.02] 山朵已经活不了了
[4107.82] 你威吓一下也接不了
[4109.06] 这个扫墓太脆了
[4127.199] 有个这个可猫猫啊
[4130.309] 还有一个什么玩意儿
[4131.749] 哎呀这个玩意儿比较麻烦的
[4133.429] 这个菜粉蝶这个恶心东西啊
[4137] 蔡文蝶确实恶心
[4138.96] 那这么上
[4148.18] 怎么能不上咆哮虎嘞
[4158.68] 不让提起你
[4167.9] 不上哪个看一下啊
[4169.86] 精神强念齐麒麟挡先制啊
[4192.52] 770
[4210.86] 啊对面果然是可摸摸啊
[4212.56] 可摸摸没关系
[4214.88] 那这个鼠鼠
[4215.98] 那你今天有点早啊
[4217.38] 负责啊啊啊哈哈哈
[4219.44] 对不起
[4220.12] 我知道你的效果了啊
[4222.82] 挑衅这个菜粉蝶
[4225.9] 哎呀不是隔音
[4227.22] 那不是隔音好啊
[4228.38] 一吼不就死了吗
[4229.66] 哎复制到了防尘
[4231.32] 嘿嘿你说你防尘防谁的尘呢
[4233.9] 防妙花的尘呢
[4234.78] 没必要啊
[4235.77] 防愤怒粉的沉啊
[4237.07] 防愤怒粉的沉一般是隔音的多一些啊
[4240.11] 防尘居然是没什么好防的
[4242.46] 主要是你防愤怒粉啊
[4243.58] 防那个来杯醋茶的愤怒粉吧
[4246.19] 哎呀围巾啊
[4247.79] 不是围巾
[4248.49] 是围巾
[4249.35] 因为鼠鼠应该比他快啊
[4250.87] 兄弟我鼠鼠是最快的呀
[4254.34] 怎么可能比你慢呢
[4256.34] 对不对
[4257.02] 围巾催眠粉啊
[4258.3] 你也可够无耻的
[4260.55] 咚咚咚咚咚咚咚咚咚咚咚咚
[4263.11] 那其实你这个也很危险呐
[4265.27] 那为啥危险呢
[4268.69] 围巾他又走了嘛
[4270.43] 那睡啊睡
[4275.999] 你这又是何必呢
[4277.679] 我这愤怒门牙加高音
[4279.479] 你不就清场了吗
[4281.559] 还在这给我围巾吹一个高音吼
[4287.28] 他走了
[4287.96] 因为他被挑衅了
[4288.84] 这围巾催眠真是我真是服了啊
[4292.699] 长耳兔来了
[4294.979] 醒了你就凿啊
[4296.159] 咬一口过半
[4299.8] 铁头哎呀
[4300.72] 我死不用醒来了
[4302.38] 直接秒杀
[4303.46] 还好嘿嘿嘿
[4304.7] 你说嘿嘿嘿什么嘿嘿嘿
[4306.68] 还好
[4307.32] 我还有2号大将
[4312.06] 你围巾呢也就是说我开出空间
[4314.06] 你今天可给我凿啊
[4315.34] 还在这给我搞
[4318.76] 看我妈戏法空间不要慌啊
[4323.53] 对不是
[4323.97] 不是不要慌
[4324.53] 我说大家不要慌
[4325.45] 对不对
[4326.89] 哎我还有2号空间手嘞
[4329.24] 算你牛啊
[4331.84] 还是这个围巾催眠
[4334.56] 我们鼠鼠本来就是高速挑衅呢
[4336.38] 你随便打查耳兔蛐蛐罢了
[4338.9] 杀了我那个谁杀了我的鼠鼠啊
[4341.92] 叔叔看我妈直接死了
[4343.5] 你说我近战打死你
[4344.84] 然后再来怼
[4345.52] 还带个铁头
[4347.79] 他近战可以的啊
[4348.99] 牛不过不好意思
[4350.27] 我是腰带的
[4351.43] 那你不得打两下嘞
[4353.01] 然后空间一开
[4353.79] 喷火清场结束
[4355.87] 是不是结束
[4356.67] 空间一开始结束啊
[4357.47] 他超高速啊
[4362.6] 这边细拳一点血给你吸
[4364.36] 随便吸啊
[4365.26] 就是复古细拳铁头这么一个技能
[4368.67] 那你这个的话没有出手权啊
[4371.09] 他说我违禁催眠
[4372.43] 天下无敌
[4374.15] 不就有出手权了吗
[4376.4] 好一开
[4377.08] 他直接点了啊
[4378.12] 别看他有四个人
[4379.44] 实际上啊乌合之众
[4383.4] 那是不是该我表演了
[4384.94] 是不是该我表演了
[4386.76] 我想说
[4390.26] 他也拍不了
[4391.22] 因为有围甲
[4392.42] 那这里的话喷火哎
[4395.679] 机器人强健
[4396.439] 点一下
[4396.979] 那战武林甲龙必死
[4398.439] 他这个可能是什么呢
[4400.039] 我觉得他这蔡文蝶是不是队友守护的不对呀
[4402.379] 怎么可能队友守护
[4403.359] 那必须是敷衍的呀
[4406.95] 是不是结束了
[4408.33] 怂卖一个只能说卖一个啊
[4411.29] 卖一个卖谁呢
[4413.21] 那长耳兔就卖了
[4414.21] 长耳兔给他黑丝的
[4416.05] 给他烧焦了啊
[4419.42] 查尔兔哪顶得了啊
[4422.02] 可现在黑丝都被烧烧出洞来了
[4430.04] 斗龙你跑不了的兄弟还吸一拳是吧
[4434.32] 斗龙
[4439.74] 菜粉蝶就不用上了
[4440.98] 原来是高兵的
[4441.74] 高兵不死的更惨吗
[4442.82] 嘿嘿刚兵蔡粉蝶
[4444.78] 那不好意思
[4445.54] 围甲在此
[4446.58] 天下无敌
[4448.08] 今日强奸对吧
[4449.82] 围甲在此啊
[4450.64] 打不了斗龙
[4452.83] 保护过了死吧
[4454.13] 还有一个叫什么菜粉蝶的啊
[4456.01] 那个围巾菜粉蝶
[4457.43] 你出来就是秒
[4462.44] 钢兵也是死啊
[4463.98] 喷穿了
[4465.02] 简简单单
[4465.64] 这就是煤炭龟啊
[4466.56] 空间下第一人煤炭龟
[4469.15] 雷磊石头拉稀了
[4470.49] 雷雷石
[4470.81] 雷电石不行
[4473.17] 雷斯拉完了
[4474.17] 斗罗双联保啊
[4475.27] 斗罗双连保
[4477.35] 那你双连保也不行啊
[4478.79] 我这喷火钢兵还是死啊
[4480.58] 刚腰带钢兵呢
[4481.8] 那不是啊
[4482.38] 你看这个喷火喷了斗龙50%的血啊
[4485.46] 大概50%的血
[4487.01] 但是你精神强硬
[4488.25] 他必死啊
[4488.85] 最后一只的话就是违禁菜粉蝶
[4493.1] 极限大战啊
[4493.9] 这空间都熬不过去的
[4498.02] 所以不用慌
[4501.44] 只要空间开起来啊
[4502.72] 一切都会好起来的大将煤炭龟在此
[4514.48] 有时候你要学两个空间手
[4519.06] 你还以为我后面是一个好欺负的
[4521.42] 这个你有巨人是吧
[4522.82] 你有巨人
[4523.38] 真狗屁
[4523.86] 不是实在是确实不好
[4525.26] 怎么打呀
[4525.78] 你有巨人
[4526.83] 你有巨人
[4527.67] 不开空间的时候还可以打一下
[4536.86] 怀帝落兔母火生虫
[4538.7] 这几个
[4539.02] 这火虫比较烦呐
[4539.98] 魂虫啧
[4542.5] 魂虫比较烦呃
[4544.28] 没关系
[4546.03] 习麒麟上
[4548.35] 然后咆哮五开啊
[4549.55] 老一套了啊
[4551.8] 这一只你有巨人啊
[4553.12] 你有军人
[4553.44] 他又来了
[4553.92] 刚还说他垃圾呢
[4554.92] 这不又来了
[4556.2] 垃圾也得上啊
[4557.64] 兄弟
[4565.28] 感谢武志鱼开通了超粉
[4566.6] 还送的66个超火
[4569.63] 人看就为明朝送的15个小月亮
[4575.72] 感谢我去把你送的教农长耳兔
[4577.44] 可以穿个红秋裤吗
[4578.46] 可以的啊
[4581.6] 感谢李月奶
[4582.44] 牛奶里有奶送的魔法引擎
[4585.08] 十个丘比特之箭
[4586.309] 四个蹲牛小白
[4587.369] 还有爱心七星和两个大风车
[4589.029] 还有粉丝一阵啊
[4589.829] 非常感谢老板
[4590.88] 还有AGTV卡
[4592] 感谢里约奶牛
[4593.36] 感谢里约奶牛拿榴莲牛奶啊
[4599.05] 啧啊你这个的话
[4600.65] 那就狗屁不是啊
[4601.61] 直接拍一个开空间完事了
[4603.55] 七把空间开啊
[4605.37] 击掌奇袭
[4606.07] 拍这个荒地啊
[4607.35] 那花帝他可能破灭之光给你秒了
[4609.71] 所以我们拍他就行了
[4610.91] 至于这个大扭拉呀
[4612.23] 大扭拉他干不了什么
[4613.35] 你要打就打
[4613.87] 不打就拉倒啊
[4615.27] 打完我就喷火了
[4616.47] 我就跟你直说了
[4618.75] 杀了我咆哮虎呗
[4623.32] 好击掌
[4624.04] 拍住花1D不让花帝动啊
[4625.54] 哇伤害不错
[4626.28] 金鱼害了啊
[4626.84] 拍了25%的血
[4627.88] 对面竟然锤了我啊
[4629.9] 克命爪
[4630.26] 他要拼个脸啊
[4630.94] 这都打不了
[4631.74] 打不了喂
[4633.739] 没关系啊
[4634.479] 这速度更更慢更好啊
[4636.419] 华地位说了哎
[4638.97] 缺个room
[4639.53] 这个麻痹的概率只有1/8概率不能动啊
[4642.09] 这个概率非常低的
[4643.09] 我认为一般是能动的
[4644.13] 所以都还是不错的
[4645.27] 那至于这个大扭拉
[4646.45] 刚才是这个白色香草吗
[4648.59] 那死死去吧
[4649.67] 大尼玛啊
[4652.349] 这边直接冲了他
[4653.569] 你说冲得了吗
[4654.549] 你看看我冲不冲得了
[4656.049] 我还真冲得了
[4659.86] 他拼个脸
[4661.14] 但是大牛拉这空间开出来的话
[4663.3] 我就开干了
[4663.98] 直接
[4666.5] 麻痹概率比较低啊
[4667.74] 就当就当减
[4669.46] 只减你的速度而已
[4672.01] 他们都保护一下
[4673.09] 拖一下
[4674.869] 或者我770马上下去切煤炭龟啊
[4676.969] 大牛拉走
[4677.549] 换一个人来吃
[4678.189] 换谁来换鬼剑吗啊换火神虫啊
[4681.309] 魂虫吃他也得吃啊
[4683.74] 阿七你们还不动
[4685.72] 啥时候推了我极限物攻的啊
[4687.62] 推不推得死啊
[4689.26] 差一点点啊
[4690] 差4%的血量
[4690.96] 可惜了
[4691.58] 可惜770了
[4693.91] 非常可惜
[4694.59] 月亮这里轰一下
[4695.31] 770阵亡吧
[4695.95] 770死啊
[4698.7] 谢谢哎呦
[4699.58] 我还谢谢你呢
[4700.34] 真是我真谢谢你啊
[4701.78] 不过这个这个喷火加上闪冲推他玩了啊
[4707.25] 而我有时候还得谢谢你啊
[4708.69] 真的谢谢你
[4712.33] 赶紧喷
[4715.72] 什么火神虫
[4716.72] 那根本没用啊
[4717.68] 直接就给干了
[4718.94] 啥冲锋
[4719.8] 我跟你开玩笑呢啊
[4723.06] 晴天闪焰冲锋极限物攻
[4724.76] 这个力度都快赶上固勒顿了啊
[4727] 嗯有点猛
[4728.38] 相当于固勒顿的闪现冲锋
[4729.9] 你说厉不厉害
[4730.62] 这还是挺厉害的
[4731.8] 至于坏帝推一下也确实他耐久比较高
[4735.089] 你要杀一朵就推死了
[4736.469] 他这个物防还是可以啊
[4737.969] 100来点也是挺多的
[4741.209] 怀帝怂了
[4742.009] 只能拖了呀
[4742.649] 他只能拖啊
[4743.689] 然后这边的话魂虫就死了
[4746.449] 那魂虫必死啊
[4748.11] 闪冲锋骑天闪冲锋加上喷火
[4750.39] 他是一倍弱火
[4751.27] 你看现在喷火喷多少
[4754.2] 喷火的话哇
[4755.16] 喷火都喷他76%的血
[4756.92] 再加一个闪冲锋
[4758.04] 他不就死了吗
[4758.76] 这简简单单啊
[4761.17] 你歪喷来也不行
[4762.45] 歪喷来
[4762.93] 我们双火开也给你干穿了啊
[4768.54] 还有谁再来个大扭拉
[4772.92] 大扭拉机长就把他干了
[4774.32] 直接
[4778.34] 这大扭拉他应该是有保护大牛拉来击掌啊
[4780.9] 因为我们已经没有围甲了啊
[4782.82] 喷加上点右边的喷火空间
[4786.58] 还几回空间
[4787.18] 还有两回合
[4789.34] 后面还有个泥
[4790.06] 有巨人啊
[4791.78] 喷火那是必须喷的
[4793.8] 呃这边的话闪焰冲锋接着推啊
[4796.2] 硬推啊
[4797.14] 他只能拍一个嘛
[4798.52] 拍煤炭龟耶
[4802.72] 快地走
[4804.13] 或者我去推死大纽拉
[4806.23] 原来是鬼剑
[4806.97] 那推死鬼剑的那不正正好啊
[4808.61] 推死鬼剑
[4809.27] 他击掌拍住这个煤炭龟
[4811.41] 那就把鬼剑推死啊
[4814.72] 山中推怀帝
[4817.08] 这里要怂啊
[4818.56] 腰带鬼剑呐
[4819.98] 我去这是真的烦
[4824.11] 腰带回线的
[4834.12] 俩都保护一下
[4843.7] 哎呀腰带鬼剑他能拖一个空间啊
[4846.68] 还有一回合了
[4850.12] 好俩都保护一下
[4858.2] 哎亏空间结束了吗
[4859.82] 影偷吸一下
[4861.12] 这倒没啥啊
[4862.3] 压个血线
[4865.17] 喷火喷死他不要慌啊
[4868.54] 为何不慌
[4869.86] 你为何不慌
[4871.74] 因为啊如果他这样的话
[4874.12] 他这个荒地打不动煤炭龟呀
[4876.42] 我还有大将
[4877.54] 你有巨人在今天你必死
[4879.75] 那你说怎么点
[4881.99] 我说
[4884.58] 我说岩崩加一个技能点
[4887.04] 现在我是两员大将啊
[4889.89] 华帝只剩百分之这么点的血啊
[4892.13] 你很难击杀我这两只啊
[4894.89] 呃我点个热风吧
[4908.74] 骚一下哦
[4909.66] 他没道具了
[4910.26] 烧不了
[4913.06] 这样啊
[4915.62] 象球点了
[4916.62] 大牛拉这边岩崩一下就行了
[4920.64] 岩崩一下就行了
[4923] 蹦一下就可以了啊
[4924.06] 没啥
[4926.73] 就是他现在点不死我这两个人
[4928.45] 他没有任何可能性把我这两员大将同时点死
[4932.13] 我认为这种可能性是没有的啊
[4933.93] 因为我两个血量都很健康
[4935.51] 你大扭拉那就根本打不动啊
[4937.45] 大扭拉有什么了不起的克命爪啊
[4940.25] 他克一下无所谓
[4941.01] 对不对
[4941.33] 打不死任何人呐
[4942.95] 这边呢哦破灭之光啊
[4945.07] 牛啊兄弟
[4945.77] 那不是把自己扣死了吗
[4947.21] 嘿你这个不是把自己扣死了吗
[4949.59] 行行行牛啊
[4951.99] 精锐派随便呐
[4952.91] 你扣一半血
[4953.67] 你不自己就死了吗
[4954.63] 你本来就没血了
[4955.47] 还扣我一半血啊
[4956.95] 对不对
[4957.67] 你本来就没血了
[4958.67] 他还来打破灭之光
[4959.67] 我说他打不死我
[4960.59] 任何一个人的啊
[4961.43] 打不死我两个人啊
[4962.68] 你打死这边
[4963.68] 那我煤炭龟这气象球他的意思是什么
[4966.4] 他的意思是如果科密爪出个睡眠啥的啊
[4968.86] 那还可以接受
[4969.86] 我还有个咆哮虎嘞是吧
[4971] 还有个咆哮虎
[4972.2] 他这个意思啊
[4973.24] 空间结束
[4973.84] 我们也在这打哎呀
[4975.68] 他这个鬼剑腰带这种还拖硬拖一下
[4977.98] 硬拖一回合啊
[4983.78] 你有巨人
[4984.5] 你看看
[4984.98] 直接给他换了一个马克华地啊
[4987.1] 还是不错的
[4993.82] 再改一改
[4994.7] 我觉得这空间呢你看是不是也可以打一下
[4997.36] 像你有巨人
[4998.42] 就基本上是纯纯属打酱油的角色了
[5000.94] 都已经是
[5008.7] 又有这种雨天
[5018.02] 也有这种雨天哪
[5022.34] 我们如果开出空间呢
[5023.92] 这个晴天下不好打
[5025.22] 因为他这边有雨天嘛
[5030.68] 所以怎么去打嘞
[5031.98] 先吼一波去打天
[5062.94] 还剩了两只
[5063.9] 后面煤炭龟
[5064.66] 最后一只奇奇令行不行
[5066.82] 还是咆哮虎
[5072.86] 虎吧
[5080.94] 感谢PDDDQ送的六个小心心
[5088.18] 人家脚臭不臭的金话筒
[5089.66] 泰拉巴拉斯被欢乐酱戏耍后变成煤炭龟吗
[5092.62] 变草苗龟
[5105.82] 虎和意味玄羽
[5116.18] 因为咸鱼的话来个钢兵不错
[5119.16] 真的把那个谁换成钢兵还是可以
[5121.02] 那就经常不马嘎了
[5125.17] 哎刚复制到了什么东西
[5128.02] 没复制到威吓啊
[5129.46] 刚复制到什么东西啊
[5137.38] 不上适应力啊
[5139.32] 没富到威吓
[5140.06] 那肯定附上适应力来
[5143.18] 可惜没有复制到威吓啊
[5144.62] 复制到威吓的话
[5145.34] 威吓他起还是不错的
[5151.26] 新历没啥用
[5162.3] 俩都保护下
[5163.22] 没办法
[5163.7] 然后吼他一波
[5164.5] 下回来开空间啊
