[77.46] 各位朋友大家好
[1629.98] 他这种队伍呢其实又比较好打呀
[1632.16] 因为看上去没什么威胁啊
[1634.3] 我们首发这两个
[1643.22] 对面上幽尾玄鱼化石龙
[1644.78] 你看这威吓一下
[1645.66] 啥也不是对吧
[1646.66] 然后我们去把他的这个幽尾玄鱼先打死啊
[1650.19] 踩住然后击掌拍化石龙啊
[1652.87] 如果你要说这个队有什么威胁的话
[1654.55] 就是他化溪龙岩崩有可能未缩啊
[1657.35] 这一点的话比较的麻烦
[1659.08] 那直接就是暗影球打幽尾玄鱼就行了
[1661.76] 然后这边的话击掌拍住化是一龙
[1664.08] 如果他等会岩崩畏缩了
[1665.48] 可能会对我们造成一些这种额外的影响是吧
[1670.33] 会影响我们接下来的操作啊
[1673.539] 一尾玄鱼走换谁呀
[1676.659] 我去你这换鬼剑不一样
[1678.419] 吃暗影球吗
[1680.06] 嗯这个一尾玄鱼什么意思
[1683.119] 那鬼剑吃暗球
[1684.359] 当然也打不死他啊
[1685.559] 鬼剑双防140的种族还是非常高的
[1688.429] 不过你这换鬼剑
[1689.709] 那给你重创了呀
[1690.949] 那击掌拍住化石翼龙啊
[1694.05] 他的意思是上来等会零骚我
[1698.77] 然后这边直接按球
[1702.48] OK还有8%的血
[1703.98] 你说差点就打死了
[1705.36] 耿鬼没加特攻真不行
[1706.94] 这个力度始终差一口气
[1708.84] 那这里的话直接切鼠鼠来挡暗影球啊
[1715.21] 挡他那个灵骚啊
[1717.53] 或者先保护一下
[1718.51] 怂一下
[1719.29] 怂一下的话
[1720.55] 他等会开顺风啊
[1728.55] 这边切鼠鼠
[1729.59] 然后再抛一下
[1730.87] 抛一下这个鬼剑
[1732.23] 如果鬼剑怂一下的话
[1733.31] 也没关系
[1734.39] 他化石龙可能会开顺风吧
[1738.48] 然后耿鬼先怂一下
[1740.08] 等会再来崩我啊
[1742.04] 这里上数数啊
[1744.959] 对面岩崩哦
[1745.759] 直接岩崩
[1746.479] 没有机动鼠
[1747.359] 鼠无所谓啊
[1748.559] 希望能走啊
[1749.839] 崩你看没伤害
[1751.199] 完全没伤害
[1755.7] 这鬼剑不王盾啊
[1756.9] 直接干
[1757.3] 你这么牛
[1757.86] 鬼剑你都没血了
[1759.14] 还在这硬干
[1759.9] 林骚哇
[1760.86] 还骚的是这边呐
[1762.62] 骚右边的位置啊
[1763.82] 牛啊
[1765.7] 那当然是没有伤害啊
[1767.18] 现在打了咆哮有82点血
[1770.85] OK走了非常好
[1772.35] 那鬼剑的话
[1773.49] 现在啥也不是啊
[1774.29] 你鬼剑真不怕死
[1778.84] 鬼见你当真不怕死
[1781.8] 那算等我把影子踩住
[1783.12] 这个化喜龙就废人一个啊
[1784.48] 被威吓了
[1785.38] 啥也不是
[1788.45] 然后这里我们再来一次的化喜龙
[1790.25] 他可能会开顺风
[1791.09] 不是可能会开顺风啊
[1792.01] 大概率开顺风
[1793.74] 然后这边的话暗影球直接打死这个鬼剑
[1797.94] 鬼剑的话
[1798.58] 他这里肯定不敢点那个暗影球
[1800.18] 不敢点灵骚啊是吧
[1801.86] 岩崩啊
[1802.72] 继续岩崩
[1803.55] 没有击中鼠鼠
[1804.47] 别别别别这样
[1805.19] 兄弟好
[1805.71] 没有击中耿鬼啊
[1806.59] 他伤害是没有啊
[1807.87] 就怕什么呢
[1808.83] 就怕他给你畏缩一下
[1810.34] 他的鬼剑也没有怂
[1811.58] 看来就是拼脸啊
[1812.84] 你这么怎么行呢
[1814.24] 击中击中鬼剑的要害
[1816.3] 这倒无所谓
[1817.57] 然后再来送他一辈子锁岩崩
[1820.39] 喜欢岩崩是吧
[1821.39] 那就一辈子去崩吧
[1822.77] 不过他一辈子崩
[1824.03] 那是好事啊
[1824.67] 你全队没我快
[1825.51] 我今天崩了
[1826.11] 你畏缩
[1826.51] 你信不信
[1828.09] 化石翼龙本身没什么威胁
[1829.73] 就是怕这个畏缩
[1831.57] 那后排还有一尾旋翼和歪喷嘛
[1833.33] 出来吧
[1833.81] 外喷他献上一位玄羽
[1839.09] 因为旋翼的话
[1840.01] 我们直接就这个看我妈加上暗球打死他嘞
[1847.1] 你要冲就冲吧
[1848.14] 化石翼龙不用管他啊
[1850.3] 打C位学员在唱灭歌
[1851.84] 因为右轩他会跑
[1853.06] 没有必要唱
[1858.22] 化神又崩
[1859.16] 别这样
[1859.66] 兄弟你看崩一下
[1860.94] 根本就没上机动输出要害了吗
[1862.86] 这明显击中要害了呀
[1864.26] 你激动害
[1864.7] 就打这么点直半球
[1866.84] 他不是围巾的啊
[1868.06] 他不是围巾
[1868.88] 又玄羽
[1869.72] 原来是腰带的啊
[1871.02] 那不是围巾
[1871.64] 那就是腰带嘛
[1872.6] 或者有些是没有过的
[1877.76] 腰带也有玄羽
[1881.32] 怎么腰带还冲动啊
[1883.139] 这个腰带又有闲鱼
[1884.699] 他也冲啊
[1885.339] 那不就把自己反死了吗
[1886.539] 这不很蠢
[1887.459] 那接下来就简单了呀
[1888.859] 那咆哮虎上拍一个
[1889.979] 然后唱民歌就完了
[1893.78] OK那他最后只歪喷嘛
[1896.26] 歪喷啥也不是
[1897.64] 这再威吓一下这个化石翼龙啊
[1899.46] 这画世翼龙啥也不是
[1900.7] 关键就是这个这个不要畏缩就好
[1903.79] 耿鬼只要唱出灭歌游戏就结束了
[1906.21] 拍住拍住他喷火龙
[1907.71] 然后唱灭歌啊
[1908.88] 那化形龙被威吓两次
[1910.42] 啥也不是
[1914.6] 啊机长啊
[1916.52] 灭哥肯定是拍歪喷呐
[1918.96] 因为外喷一个象球
[1920.08] 耿鬼必死
[1921.12] 那只要耿鬼不会缩
[1922.76] 就游戏结束了
[1923.8] 因为他崩一个都崩不死哦
[1925.86] 他还先布玛嘎
[1926.54] 知道你最后只是那个啥是吧
[1927.78] 这最后一只牛蛙他先不马嘎
[1929.3] 你还得稳得起啊
[1930.2] 他先来拼个畏缩
[1931.42] 那伤害几乎没有看耿鬼的啊
[1936.38] OK没出意外
[1937.02] 游戏结束
[1937.99] 接下来保护保护保护就结束了啊
[1940.21] 化系龙呢
[1941.11] 这个宝可梦一点威胁都没有
[1943.27] 主要是他的岩崩有可能畏缩
[1944.71] 这很麻烦
[1945.49] 对面剩两个鬼系
[1946.69] 遇到鬼泣
[1947.17] 我们就把他打死就可以了
[1948.55] 尤其是鬼剑和这个幽尾玄鱼
[1950.87] 想杀他也挺容易的啊
[1953.98] 好那接下来就是保护不保护
[1955.62] 保护完事啊
[1956.68] 你可以直接点了
[1958.08] 我们保护都放在第一位啊
[1959.54] 随时保护你WIFI限量马拉吧
[1962.98] 他还觉得我先问马嘎
[1964.72] 你马嘎了以后我再切牛蛙
[1966.14] 你还是你还是雨天呢
[1967.34] 你放心吧
[1968.24] 至于化世一龙
[1969.38] 全程都是废人啊
[1971.419] 哎呀他还稳得起啊
[1972.819] 哈你稳不稳得起
[1974.339] 这都不重要了
[1975.219] 他Y分还不马嘎
[1976.219] 他说你不切流万
[1977.059] 我就不马嘎
[1978.13] 那都这个时候了
[1979.29] 你再说这些还有什么用啊
[1981.979] 来继续岩崩啊
[1983.179] 这就是化石翼龙
[1984.179] 他本人的伤害你看都忽略不计啊
[1986.139] 刚才击中要害也就那么点
[1988.179] 因为化石翼龙是没有输出的
[1991.61] 它主要是一个畏缩的作用
[1995.37] 华西龙再来一次
[1996.45] 解除了聂哥
[1998.69] 还有两回合
[2001.14] 然后我们换人再保护就得了啊
[2003.28] 你现在马嘎吧好
[2006.28] 对面就点了
[2006.84] 他也知道啊
[2008] 这歪喷经常他都稳得起
[2010.04] 因为他等你牛蛙上来
[2011.24] 他再抢天启
[2013.57] 对面是雪天队
[2015.03] 这个雪天队之前
[2016.81] 我一直打不过雪妖女和钢兵的组合
[2019.61] 那现在的话我能稳吃他了啊
[2022.139] 我们还是选出耿鬼鼠鼠
[2024.199] 然后咆哮五和哎
[2027.28] 这就不上牛蛙了吧
[2028.36] 还是查吧
[2029] 老四样吧
[2030.589] 老四样的话
[2031.469] 一般牛蛙就是晴天才选
[2033.049] 剩下的时候呢也不怎么选
[2035.149] 雪天
[2035.429] 选不选雪天也没什么必要选啊
[2037.409] 那就这四只
[2038.469] 如果他上血妖女和钢兵的话
[2040.129] 我们直接帮助打死这个血妖女啊
[2042.429] 钢兵一刀是斩不掉耿鬼的
[2044.169] 不用去担心
[2045.56] 之前这个组合一直打不过他的雪妖女暗影球啊
[2048.94] 还有钢兵的扑刀
[2050.32] 这些都非常的麻烦
[2052.18] 第一回合可能就决定了游戏的胜负啊
[2054.7] 我们只要打死这个小妖女
[2059.8] 啊对面并没有上钢冰雪妖女
[2062.12] 而是先布和幽尾玄鱼
[2064.33] 这个仙布的话是打不动耿鬼的呀
[2067.17] 你上仙布首发干啥
[2068.859] 你知道我们是灭哥队
[2070.499] 没有部分炸弹是吧
[2071.379] 你还敢面对耿鬼上先步啊
[2073.119] 那我们还是先保护一下
[2074.299] 看看右翼学怎么说
[2075.219] 是要冲吗
[2075.699] 还是干什么
[2077] 然后还是把幽尾玄鱼打死啊
[2079.36] 先不等会定身马甲再来一次就行了
[2081.68] 仙布本身对我们也没啥威胁
[2086.96] 好我们先怂一下
[2088.08] 看下情况
[2089.969] 看他右旋鱼是不是要快速折返呢
[2092.089] 还是说要冲啊啥的都行
[2094.169] 有队友守护他还是冲不死我们的哇
[2097.86] 直接冲啊
[2098.3] 这么猛还是要冲啊
[2100.18] 可以这边高音
[2105.04] 我们还是先打死这个一尾玄鱼
[2108.78] 然后这个等会再定先布
[2113.88] 不过他冲动加高音
[2115.2] 我可能耿鬼会死啊
[2119.84] 还先把先布定了
[2121.04] 还是杀一位咸鱼啊
[2122.22] 先布的话
[2123.23] 这里要看我妈了啊
[2124.55] 不然的话冲动冲耿鬼再补个高音
[2127.35] 我怕耿鬼会死啊
[2129.31] 冲的话每次冲我们残血嘛
[2131.59] 好看
[2132.23] 我妈你要冲就冲吧
[2133.27] 那鼠鼠这也送给他了
[2137.38] 暗球啊
[2138.9] 他不是围巾的哦
[2141.54] 这个耐久文耀武吗
[2144.83] 也不是红叶谷诶
[2145.85] 他扫墓啊
[2146.63] 他没冲
[2147.09] 他冲的话就把自己反死嘛
[2149.49] 这边月亮之力啊
[2151.6] 月亮之力没什么伤害
[2155.02] 那这里他幽尾玄鱼不是围巾的
[2157.26] 没有我们两个快
[2158.34] 那我们直接把先布给定了啊
[2159.98] 这个先布直接让他挣扎来
[2162.319] 因为咸鱼他不是围巾的
[2164.119] 我们随时打死他
[2166.519] 他要冲耿鬼的话
[2167.399] 也冲不死
[2168.3] 再来一次
[2168.98] 把先不给锁死啊
[2170.42] 这样先不就只能挣扎了
[2172.25] 那定身法定他的月亮之力
[2174.03] 然后再来一次再来一次他月亮之力
[2176.01] 那先不就是不能用技能了
[2178.71] 好给他封锁了
[2180.13] 他要是违禁的鱼的话
[2181.63] 就打死他了
[2182.47] 他不是违禁鱼啊
[2184.74] 腰带鱼是吧
[2185.66] 但你也不是腰带鱼啊
[2186.7] 他冲啊
[2187.26] 那冲的话把自己反死正好啊
[2189.27] 这里是打不死的
[2190.21] 我这个伤害
[2191.13] 所以我刚才说可能他补个高音
[2193.11] 我耿鬼会死啊
[2194.88] 呃不过这个耿鬼的话
[2196.56] 因为一方面抗妖精
[2198] 另一方面有队友守护啊
[2199.4] 那先布这里
[2200.16] 他下回就挣扎了
[2201.08] 不用管他
[2201.89] 然后他的幽尾玄也死了
[2203.29] 这对我们来说最好的事情
[2204.37] 如果他这里有小女
[2205.25] 小女当场死亡啊
[2206.17] 哦来了
[2206.77] 那小妖女再见吧
[2207.93] 帮助暗球必杀他呀
[2209.37] 我们的速度是快过雪女的
[2210.99] 然后一个暗球他必死
[2214.15] 不能给他任何机会啊
[2217.8] 然后这边帮助他
[2219.6] 就算是加满血的小女
[2220.92] 今天也是死
[2221.92] 你是没我们快的
[2223] 这里必死
[2223.54] 先不的话只能挣扎了
[2224.84] 没什么用
[2225.62] 然后等会唱灭歌就行了
[2229.82] 喜欢你就死去吧
[2232.7] 我们速度是拉过120线
[2234.95] 就是快过雪妖女
[2236.19] 因为这个雪妖女也比较麻烦
[2237.94] 他先手要极光幕的话
[2239.5] 或者是直接暗影球打
[2240.7] 我们当他吹暴风雪啊
[2242.26] 那拜拜必死无疑啊
[2243.56] 因为是帮助暗影球啊
[2244.86] 他加再多耐久也接不了
[2246.58] 那先不的话慢慢挣扎吧
[2249.22] 结束嘞
[2251.12] 这个是不是钢兵呢
[2252.54] 事到如今
[2253.44] 你再说钢兵晚了
[2255.34] 那挣扎一下
[2256.4] 耿鬼挣扎了两点血
[2258.36] 忽略不计啊
[2258.96] 不用管他
[2261.47] 好对面直接点了
[2262.55] 你作为这钢兵的话
[2263.31] 我们看我妈直接灭哥啊
[2264.51] 完事
[2264.87] 然后后面三个人头随便打啊
[2266.56] 之前我一直打不过雪女
[2268.3] 现在改变一下思路的话
[2269.68] 还是可以打的
[2271.84] 对面还是这个标准队伍
[2274.12] 哎你这个标准队伍
[2275.38] 你不觉得你每把都要打内战吗
[2277.61] 你经常排到的全是这种队伍
[2279.39] 内战的话你又怎么能保证你都赢呢
[2281.79] 那就看你操作了啊
[2283.27] 那这个内战的话
[2284.29] 我们还是呃他有钢兵啊啊
[2287.2] 但是他没有右尾玄鱼是吧
[2288.68] 但是这个花D和喷火龙都有
[2291.92] 那我们又不敢上咆哮虎嘞
[2294.08] 上咆哮
[2294.96] 如果他喷火龙和钢兵组合的话
[2296.66] 那你可就炸了啊
[2298.06] 你拍谁呢都不太好
[2300.24] 所以还是让数数
[2301.66] 这样的话
[2302.46] 到时候还可以定他后排的话还是那两只嘞
[2307.69] 嗯雨天的话就上流啊
[2309.67] 你可以赌他不上花海地就可以上斗龙
[2312.39] 这斗龙的话基本上没选过
[2315.53] 说实话
[2320.78] 还是数数啊
[2321.7] 数数第二位
[2322.78] 你不可能赌他不上钢钉
[2327.68] 钢兵首发的可能性很大
[2330.64] 这样的话你也耿鬼和咆哮都是威胁啊
[2334.75] 你拍的话
[2335.63] 如果你上炮旧和耿鬼
[2337.95] 你遇到钢兵
[2338.63] 你只能去硬拍钢兵了
[2340.19] 你不拍他的话
[2341.17] 这危很危险的
[2343.78] 我最怕的就是钢兵和喷火龙的首发
[2347.5] 他上的是钢兵荒地
[2348.78] 那这还行
[2350.45] 这个坏地的话就怕一点
[2352.43] 就是他是玩破灭之光的啊
[2354.13] 不要命的话
[2354.85] 一炮一个鼠鼠
[2355.99] 一炮一个这个咆哮
[2358.1] 我当他打不死咆哮虎啊
[2359.54] 就是迅速削我们人头
[2361.02] 这样的话我们就麻烦了
[2362.48] 哎这里可以看我妈
[2363.74] 然后唱灭歌
[2365.94] 但是这个鼠鼠就得死
[2368.96] 那还是都保护下
[2369.76] 看看情况吧
[2371.17] 还是保护一下啊
[2372.73] 这种比较慢速的
[2374.01] 我们保护一下
[2374.77] 他一般不会来钓鱼吧
[2376.37] 你说怎么钓鱼
[2377.81] 怀地切成喷火龙啊
[2380.28] 有可能他两个都上啊
[2381.5] 那这里的话他马拉坏地的话
[2383.24] 如果马哥换地就最好啊
[2384.98] 因为就意味着没有喷火龙
[2389.86] 有的人上花地是为了来应对斗龙
[2393.54] 我们没有带无形炸弹啊
[2394.76] 打不了这个荒野地
[2397.88] 他换地马了
[2398.96] 那后排的话可能就是这个这个地龙啊
[2402.96] 还有大米拉这种
[2406.97] 呃怂一下
[2411.64] 好怂一下
[2412.4] 看他干什么
[2413.32] 我们肯定优先定钢兵呢
[2414.96] 如果钢兵点扑刀的话
[2416.74] 魔法沈阳这个不用管啊
[2418.44] 华帝没输出
[2423.44] 扑刀好的
[2424.3] 那就定扑刀啊
[2425.42] 有扑刀直接定扑刀也没什么办法
[2430.94] 后面牛蛙咆哮虎
[2432.22] 牛蛙基本上没啥用了
[2435.02] 定身法
[2441.12] 然后再来一次锁死这个钢兵
[2443.52] 下回我们再锁花D啊
[2445.02] 因为他两个没我们快
[2451.98] 好再来一次
[2452.82] 这样的话
[2453.52] 下回合钢兵就只能挣扎了
[2459.56] 华帝聚魔法闪耀哎这魔法闪耀的话没有威胁啊
[2462.9] 伤害还挺高
[2467.22] 那钢兵的话就要挣扎了
[2469.65] 这里继续继续定他花地
[2472.57] 那花地他不能怂啊
[2474.03] 你要保护下
[2474.85] 我再来一次
[2475.33] 你不一辈子保护吗
[2476.43] 所以花地他不能怂的
[2478.08] 那接着定
[2479.24] 然后再唱歌
[2485.2] 你说要杀这个钢兵也没有技能杀他呀
[2488.04] 没有办法啊
[2489.3] 呃挣扎的话扣1/4血
[2491.18] 你说他扣血
[2491.78] 我们把钢兵杀了
[2492.7] 怎么杀钢兵呢
[2493.6] 这不杀不了吗
[2494.66] 他挣扎一下
[2496] 挣扎鼠鼠伤害挺高啊
[2497.68] 挣扎的威力是40
[2498.98] 哎呀
[2499.4] 这个伤害依然是高啧高啊
[2504.35] 那这钢兵再来一次
[2505.35] 还有一回合啊
[2506.15] 很快就要结束了
[2507.44] 因为你再来一次
[2508.48] 他他他是三回合嘛
[2510.04] 你从他再来一次
[2511.16] 那回合加起来三回合
[2512.4] 所以很快
[2513.32] 那这里的话呃
[2515.49] 先怂一下吧
[2518.19] 先怂一下啊
[2519.45] 然后把歌唱起来
[2520.79] 把这两个拖入灭歌再说
[2524.54] 等会继续再来一次
[2525.78] 他钢兵那唱坏地的话也要挣扎了
[2534.74] 华帝没有技能
[2535.86] 可以用荒地使用挣扎
[2540.94] 钢兵挣扎啊挣扎
[2543.42] 耿鬼我去
[2544.1] 你看这个挣扎伤害也是蛮高的
[2547.78] 再来一次解除了
[2550.06] 那灭完还有三回合
[2552.8] 那继续再来一次啊
[2558.46] 然后这里没有技能点
[2562.22] 看一下他这个封锁状态
[2564.61] 扑刀被定了
[2565.57] 还有一回合啊
[2566.53] 然后荒地的话还有一回合
[2568.17] 等会要继续搞他呀
[2569.51] 现在耿鬼就没技能点了
[2574.04] 随便点个技能呗
[2575.26] 啊确实没技能点
[2577.85] 接着唱
[2578.85] 没事干的
[2580.29] 你不能保护啊
[2581.53] 因为你保护了
[2582.13] 等会就不能再保护
[2582.89] 就会很尴尬啊
[2583.87] 继续再来一次杠兵
[2585.17] 让他继续点扑到
[2588.019] 因为他第一回合点的是扑刀嘛
[2589.839] 哦他锁突袭那一辈子突袭吧
[2591.659] 突袭他说我不想被你定了
[2592.979] 我先点突袭
[2593.699] 这样不会被定了吧
[2594.579] 那灭哥就失败了
[2595.619] 因为大家已经听到灭哥了
[2597.399] 那我是不可能点攻击技能的
[2599.119] 你就不用想了
[2599.999] 那他现在再来一次
[2601.199] 锁在了突袭上面啊
[2602.559] 一辈子突袭
[2603.339] 我们根本不可能进攻的
[2604.76] 他突袭就会失败
[2605.98] 那怀疑帝继续挣扎又挣扎
[2607.52] 耿鬼问题不大
[2610.58] 那华帝再来一次
[2611.78] 解除了那钢兵
[2613.7] 钢兵一辈子突袭啊
[2614.62] 不用管他灭哥
[2615.58] 还有两回合
[2620.3] 钢兵要一辈子突袭
[2623.43] 看这个荒地
[2625.91] 荒地的话
[2626.51] 他的魔法闪要被封锁了
[2632.3] 你没事干呐
[2634.21] 嗯反正不打工兵技能就行了
[2637.21] 等最后我们再换走啊
[2639.45] 这边继续再来一次
[2640.99] 再来一次花地
[2644.68] 突袭啊
[2645.4] 突袭失败不用管他
[2646.36] 钢兵这定身法失败啊
[2649.27] 因为他已经被定了
[2650.11] 魔法塔就不能再定了
[2651.49] 咱们再来一次哎
[2653.97] 再来一次怎么失败啊
[2656.82] 他在西之吻呢
[2658.5] 呃他挣扎的话不能再来一次呀
[2662.22] 因为他刚点的挣扎呀
[2663.3] 我不能再来一次
[2664.1] 他的这个不能再来一次
[2667.27] 他的魔法闪耀啊
[2668.31] 他就没点魔法闪耀
[2669.31] 他挣扎了
[2669.87] 再来一次失败了啊
[2670.91] 那没关系啊
[2671.93] 这里鼠鼠的话本来也要送了
[2673.84] 因为你不送这个耿鬼
[2675.44] 首先你也没法走啊
[2678.539] 然后接下来上咆哮虎拍住他的荒地就行了
[2682.219] 然后耿鬼下就可以了
[2683.419] 钢兵的话他还得继续点突袭啊
[2685.159] 他刚自己锁突袭啊
[2686.579] 这不太明智啊
[2688.09] 锁突袭
[2688.53] 他以为锁突袭能躲躲过我的技能
[2690.55] 实际上你锁突袭就等于废了啊
[2692.37] 因为我从来不进攻的啊
[2694.91] 这里击掌拍住花D就行了
[2696.35] 这花1D是一个戏曲中的冥想类型的
[2698.55] 不过他这冥想没什么用了啊哈这个搓如灭哥了
[2703.19] 你也不用冥想了
[2705.17] 冥想的话再来再来一次一辈子冥想啊
[2708.41] 他挣扎的话不可以再来一次嘞啊挣扎
[2720.5] 然后他最后两只最后两只的话
[2722.88] 地龙和大纽拉这两只威胁倒不大呀
[2726.88] 牛蛙直接来唱歌就行了
[2733] 那机长齐拍住华帝
[2735.76] 然后钢兵计突袭失败啊
[2737.6] 那这两个又被拖死了
[2739.29] 我们的咆哮和牛蛙的血量还非常健康啊
[2741.77] 应该是能唱出来的
[2742.73] 除非他后头给你玩个岩崩啥的
[2744.45] 等我崩你一下
[2747.1] 否则的话应该是很容易唱出来的
[2750.28] 他就算大牛拉和地龙或者是地龙化C龙
[2753.76] 地震加岩崩都可以啊
[2756.3] 就怕双岩崩啊
[2760.04] 看对面后排是哪两只
[2765.3] 啊大扭拉
[2768.42] 和地龙啊
[2769.26] 大牛拉和地龙没问题啊
[2770.86] 大牛拉地龙
[2772.94] 那他有击掌奇袭呃
[2777.949] 保护一下
[2780.15] 都保护一下
[2780.99] 拖过机场奇袭啊
[2781.99] 看他下回怎么说不着急
[2784.57] 只要我们唱出灭歌
[2786.53] 然后拖就行了
[2791] 不慌牛蛙的话
[2793.76] 他应该打不死啊
[2794.52] 我们两个都满血
[2795.28] 你能把我杀了
[2798.02] 而且地龙的话他不敢地震啊
[2799.9] 地震会震队友啊
[2800.86] 怎么可能地震呢
[2802.84] 所以地龙只能打个龙爪啥的
[2804.64] 就是还是拼岩崩啊
[2805.9] 这里的话我们的血量非常健康
[2807.84] 优势比较大
[2809.79] 好先怂一下
[2810.71] 透过他的击掌奇袭
[2811.99] 他要拍的话
[2812.79] 肯定拍牛蛙呀
[2813.51] 不可能让你牛蛙这个唱歌的呀
[2819.92] 哦对面直跺脚围巾的啊
[2821.4] 他比大牛拉快围巾啊
[2822.64] 围巾的话就不怕了
[2823.6] 围巾还锁跺脚哈
[2825.29] 唉你这也是双点的
[2827.09] 是这个牛蛙的位置啊
[2830.87] 松点牛蛙的位置
[2835.22] 那个牛蛙活不活得了啊
[2839.5] 唱
[2842.78] 我这牛蛙的话物防没有加太多呀
[2846.38] 这边切耿鬼
[2852.44] 就不抛了啊
[2854.76] 这边切耿鬼
[2857.52] 他剁啊剁杀咆哮虎啊
[2859.64] 没必要啊
[2863.98] 等会我们跑起
[2865.02] 我上来呃
[2868.22] 近战没问题
[2869.14] 打出文一武啊
[2869.82] 看他技能打多少伤害
[2872.22] 也不过如此
[2872.98] 可以看到啊
[2873.46] 也不过如此
[2875.38] 那吃个文艺骨
[2879.22] 白人掌没问题
[2880.54] 那接下来就保护不保护保护就行了啊
[2884.46] 然后维和他一下
[2889.18] 他这里也不好说我们哪边切耿鬼
[2891.4] 切耿鬼的话
[2892.18] 你的近战就会打空啊
[2895.21] 好米格三回合
[2896.41] 那我们只要保护保护保护就行了
[2897.89] 因为我们两个血量很健康
[2899.33] 所以的话他跺脚加什么技能都无所谓
[2902.61] 这两倍威吓一下是不可能杀掉我们的
[2904.45] 我们这里不要去击掌奇袭啊
[2905.97] 没有任何必要击掌奇袭
[2907.57] 因为他在进攻
[2909.02] 那回合是一定打不死我们任何人的
[2913.52] 对面两个攻击力都减一
[2919.86] 保护
[2924.88] 一定要记住保护保护保护
[2927.48] 不要去击掌啊
[2928.8] 你击掌的话
[2929.56] 他这回有个人会输出啊
[2931] 你击掌大扭拉
[2932.04] 那地龙输出
[2932.8] 你击掌地龙呢
[2933.64] 他地龙下活跺脚
[2934.52] 威力还翻倍了
[2935.62] 所以我们只要都保护他进攻那一回合
[2938.28] 只有一回合的进攻空空间
[2939.94] 那就是第二回合
[2940.82] 我们不保护那回合
[2942.16] 那你随便进攻啊
[2943.58] 我不认为你能杀掉任何人
[2945.56] 因为你俩都被威吓了嘛
[2952.6] 米哥还有两回合啊
[2954.48] 这边第二回我们就随便点个技能就可以了
[2963.48] 你随便点
[2966.29] 最后一回我们保护就可以了
[2968.29] 好他也知道啊
[2969.45] 他不也不拼什么金融要害了啊
[2971.51] 因为他也知道这个打不死这两只了
[2975.36] 对面是重空间队啊
[2977.74] 重空间队的话其实比较好说啊
[2979.859] 耿鬼来数数开就行了
[2981.479] 他有晴天
[2982.179] 后排牛蛙
[2982.899] 他这边首发的话
[2984.079] 齐齐麟和老大或者770和水箭龟
[2986.8] 他这个队没有水箭龟嘛
[2988.1] 就是拍你一个
[2989.06] 他开空间
[2989.92] 这些其实都无所谓啊
[2991.74] 那我们只要把前面两个拖死就行了
[2993.92] 他是换不了人的
[2994.84] 这个770呢也没什么狗屁输出
[2996.94] 这要不要上牛蛙呀
[2998.3] 啊不上牛蛙的话
[3000.47] 上流蛙就不上茶了
[3002.29] 上茶就不上牛蛙了啊
[3004.33] 还是上流蛙吧
[3005.47] 他有晴天还是得用牛蛙呀
[3008.31] 万一他等会喷火的话
[3009.83] 还是比较麻烦
[3013.5] 这个魔女注意下
[3014.74] 不要再来一次塔
[3015.54] 这魔女还比较麻烦
[3016.92] 魔女的话不再来一次塔
[3018.66] 暗球打不打得死啊
[3020.34] 暗影球的话
[3021.46] 魔女这个特防他的血比较低
[3025.51] 他特防有没有100啊
[3026.71] 魔力魔力我记得特防不太记得了
[3029.51] 如果他特防是不到100的话
[3030.95] 可以打得死的啊
[3033.249] 对面咆哮虎770无所谓
[3034.529] 这个咆哮虎是进攻型咆哮虎啊
[3036.209] 就那种白色香草那种
[3037.129] 我知道一般这么上的咆哮虎都是白字香草啊
[3040.52] 带的是近战闪冲锋啥的
[3041.88] 他就没有抛向火花走啊
[3043.28] 他走不了
[3044.26] 那这里直接这个唱歌
[3047.57] 然后加靠妈
[3049.53] 他要开空间就开啊
[3050.77] 这里我们不能都保护下
[3052.09] 保护一下他开空间
[3052.81] 下回我们可就炸了
[3055.75] 要看我妈
[3056.65] 你如果要打的话
[3057.67] 打死鼠鼠也可以
[3059.15] 咆哮虎近战是打不死的
[3060.63] 因为我们在抗斗果嘛
[3062.35] 然后吉林开空间
[3063.67] 那低火
[3064.27] 反正我们要拖死他
[3065.55] 后面的话我们也上咆哮虎
[3066.95] 他就根本打不动啊
[3071.8] 你想干什么都可以
[3078.32] 他第一回还是那种偏向于进攻型的
[3084.66] 有时候也要看人
[3086.08] 他有些人他就第一回就喜欢进攻
[3088.34] 有些人他还是要开空间啊
[3089.98] 低回的话我们就不太好怂
[3094.72] 好看我妈他要拍的话也无所谓啊
[3096.96] 拍的话金人强也念不死
[3098.2] 耿鬼不用管好
[3100.51] 这边直接唱歌
[3101.15] 把这俩拖死
[3102.359] 这个咆哮我是没有抛弃狠话的
[3104.519] 机长奇袭
[3105.279] 近战闪现冲锋和近和那个呃滴滴金钩币啥的
[3108.679] 他直接冲冲鼠鼠的位置哇
[3111.299] 伤害挺高啊
[3116.48] 还是开空间啊
[3117.52] 那无所谓是吧
[3118.4] 哎你开空间的话不影响啊
[3120.54] 反正你后排那几个什么煤炭龟啊
[3122.52] 我们切个雨天就废人一个了
[3124.37] 接下来就拖死这两个就行了
[3134.04] 那耿鬼这里要怂一下呃
[3137.24] 切抛球的白色香草
[3138.4] 然后近战嗯
[3146.16] 这个鼠鼠还是先不卖吧
