[0.12] 魔幻假面喵魔术师宝可梦非常的萌萌哒
[1412.18] 地龙大家知道2万物攻二
[1414.12] 玩速度4HB他的HB84啊
[1417.18] 双方就这样一个95
[1418.32] 一个85
[1419.01] 这是一个常见的而又热门的精灵
[1422.31] 我们就以打他为例
[1423.27] 能不能打死他
[1423.81] 当然打不死他
[1424.53] 而且你两发都不一定能打死他
[1426.459] 50%几的概率
[1427.419] 两发能秒杀他
[1428.289] 也就大概你打他就打一半左右
[1430.509] 那其他脆皮点呢打一半多一些
[1434.119] 只是有个好处
[1435.039] 是无视对面的威吓嘛啊打一半多一些
[1437.509] 我一倍伤害就打一般人一辈一半多一些
[1440.599] 那伤害不够啊
[1442.039] 所以要带奖励头带你带了奖金投贷以后
[1445.079] 那么打掉脆皮是不是就一下就秒了
[1446.939] 那打地龙能不能秒
[1448.019] 你乘1.5也不够啊
[1449.099] 你没看乘1.5
[1450.159] 这个打80~100血伤害
[1453.099] 你乘个1.5不就打150吗
[1454.959] 还是打不死地龙啊
[1456.48] 该打不死就打不死
[1457.83] 所以你需要经常需要一个压血线的
[1460.02] 注意这个压血线
[1461.13] 比如说把他压到一个半血左右啊
[1463.46] 唉这个时候就进入我的斩杀线
[1466.58] 这很重要
[1467.28] 那么假面喵他打地龙这样的一定是用轻变化打
[1469.68] 你不会去拍了
[1470.4] 他拍了他
[1470.94] 你把这腰带拍了
[1471.78] 那不是亏炸了
[1472.9] 是不是亏啊
[1473.92] 当然我不愿意这么打呀
[1475.18] 因为很亏啊
[1476.56] 感觉小鸡炖炖骨吃一口就睡
[1478.72] 送的570个
[1479.5] 新年快乐
[1480.22] 非常感谢你啊
[1483.04] 地龙因为是常见的啊
[1484.18] 而且他是一被落草的
[1485.78] 这个伤害大家心里就有个数了嘛
[1487.58] 我见变化打人一般打多少
[1489.44] 一单打到他黄血就这样啊
[1492.66] 如果触发了茂盛
[1495.06] 而且他已经本性了
[1496.23] 哎那这个就不一样了啊
[1498.38] 我这里括号里都写了
[1499.82] 大家看得清啊
[1500.75] 他基本息是两倍吗
[1502.04] 140×1还1.5×1.3百一十五
[1506.68] 如果我现在被打出气势披带触发茂盛了
[1509.37] 那么我这个一血来钛金化威力
[1512.88] 就相比原来的普通千变万花来说
[1515.22] 是不是相当于翻了个倍啊
[1516.66] 就是翻了个倍
[1517.74] 你算一下
[1518.28] 按照70往上乘相对翻倍
[1520.85] 那么哪怕是地龙
[1522.02] 是不是有概率被我击杀
[1523.37] 有概率被我击杀啊
[1525.83] 然后呢普通人更不用说了
[1528.02] 就是一下一个
[1529.1] 所以这个草主你千万不要让他触发茂盛
[1533.2] 又活在场上啊
[1534.34] 他一下一个的威力
[1535.48] 那是非常强
[1536.71] 地
[1537.4] 龙都顶不住其他人
[1538.3] 他顶得住好
[1539.38] 那这里出个题
[1543.0] 请问普通假面喵啊
[1544.8] 就是70的70皮带这么一个假面喵吧
[1547.08] 我们用千变万花去打这个赤手霸
[1548.85] 弹个响指
[1549.66] 赤手霸死不死
[1550.74] 策划种族者
[1551.52] 我给你写在这里啊
[1552.48] hp150种毒
[1553.2] 物防115
[1554.28] 特防65
[1555.6] 请问能不能打死这个不加耐久的
[1559.14] 和这个地龙一样
[1560.1] 假如他也不加任何的耐久
[1561.63] 能不能打死刺八
[1568.36] 唉不能是不是不能
[1571.52] 因为刚刚说了嘛
[1572.56] 你315为例
[1573.58] 你打他不就翻个倍吗
[1574.84] 打刺八效果拔取翻倍
[1576.73] 315为例
[1577.48] 按315例算
[1578.76] 打地龙这个都打不死
[1580.5] 那你打赤霸呢当然打不死了
[1582.39] 因为这个刺猬霸的耐久是比地龙高很多的呀
[1584.88] SB比你高很多
[1585.66] 防御比你高很多
[1586.5] 那总体来说我们看能打多少
[1588.88] 是不是打这么多血啊
[1590.16] 140~170左右有效果
[1592.68] 拔群呢效果拔群要注意一下对吧
[1594.84] 威力就是315
[1596.1] 这个威力算下来是315
[1597.9] 奔达者射吧
[1599.19] 但是能对射霸造成一个极高的伤害
[1601.83] 所以这个车把他我这个全能力加二
[1604.84] 但是你必定击中要害
[1606.04] 所以导致我也会受到一个重创
[1608.17] 那我只能忍吧
[1609.67] 我只能太精去躲这个钛晶草
[1613.77] 太已经飞钛金刚啊
[1616.56] 我抗草了
[1617.34] 那你这个伤害就本来是你效果拔群
[1619.76] 现在变成效果不好了
[1621.26] 你就相当于原来是两倍
[1622.76] 这下变成1/2
[1623.84] 一来一回相差四倍啊
[1625.28] 瞬间就不行啊
[1627.38] 如果触发了茂盛的话
[1628.78] 那你还活的了吗
[1629.8] 你当然直接被秒杀了
[1631.6] 你说冲动一下
[1632.8] 把人气势必带或者茂盛打出来
[1634.3] 人家一个青梅就死
[1635.54] 所以这个刺儿吧
[1636.56] 他你玩刺耳吧
[1637.88] 一定要注意这个
[1638.66] 不过如果奖励没让他退环境了呢
[1640.84] 他这个环境中没有什么优势了
[1643.0] 那是不是吃了
[1643.72] 霸说我就不一定要太近抗草了吧
[1646.0] 之前的没办法
[1647.08] 你要再来个武道雄狮
[1648.22] 你说我是不是得抗饿了啊
[1649.86] 对你如果环境里跑出来个武道雄狮
[1653.4] 那么大家又去太极看饿的了
[1655.2] 比如说我妖精细的吧
[1656.46] 为了打印对五道选手
[1657.48] 哎我太金妖精
[1658.56] 这样你武道熊打不动我了
[1660.08] 所以要根据环境来
[1661.52] 你太监什么
[1662.78] 太监什么都是为了应对最热门那几个人啊
[1667.12] 哎哎我真人气得不行
[1668.26] 送的很多新年快乐
[1669.76] 非常感谢你就这么一个啊
[1673.18] 这轻变化的伤害
[1674.2] 大家一定要注意一下
[1676.71] 另外这个拍落的话
[1678.06] 你经常拍落拍谁呢
[1679.2] 就是拍效果拔群
[1680.22] 比如说赛文玩啥的啊
[1681.54] 那拍落威力是65乘以本系
[1684.22] 也是恶系嘛
[1685.0] 1.5倍
[1685.6] 他有道具的话
[1686.44] 伤害有1.5
[1687.28] 要乘个1.5啊
[1688.12] 没道具就是65
[1689.2] 有道具再乘个1.5
[1690.67] 那个威力其实就是140多
[1692.56] 他的威力是没有这个前变化高的啊
[1697.34] 但是如果你拍到这个赛富豪吧
[1701.0] 还有一些恶系克制的人身上
[1704.18] 那我也要翻倍嘛
[1705.14] 就是292能不能拍出赛博豪
[1708.16] 其实还是不容易拍死
[1711.75] 因为我这里举例是一个完全不加耐久的cf号
[1715.69] 你有概率拍死他吗
[1716.95] 但是赛博豪他会不加耐久吗
[1718.51] 他可能会拉一点HP啊
[1719.89] 他双方都很高
[1720.85] 都90多种族
[1722.14] 所以他会拉一些HP拉到170多呀
[1724.61] 还有可能180多啊
[1727.43] 在这个圣地亚哥阿塞上这个冠军啊
[1733.04] 姬这个利他的
[1734.51] 他这个草主是什么固执性格
[1736.28] 固执性格他固执性格就能保证什么
[1738.86] 一巴掌拍出cf号
[1740.12] 诶你不是拉起SP吗
[1741.52] 我固执性格呀
[1742.84] 我这不是爽朗
[1743.62] 我们这里算的都是爽朗性格啊
[1745.48] 他为什么用固执呢
[1746.5] 诶我刚好就能拍死这个cf
[1748.179] 力度上来说就足了
[1749.499] 拼速呢哎没有和我拼速度
[1753.84] 110的比他快啊
[1755.04] 剩下的都没有他快
[1757.44] 他固执性格的话就刚好快过布拨
[1760.0] 如果没有人跟我拼
[1761.32] 不存在这种情况
[1762.52] 那就行
[1762.94] 他拼输出跟自己拼的
[1764.14] 别人是爽朗的
[1764.86] 那你不是吃亏
[1765.64] 就是这样固执性格的增加一点伤害啊
[1773.61] 增加一点伤害
[1774.96] 等下我今天去米姐妹送了十个粉丝牌
[1777.36] 没有
[1780.06] 这是这么一个啊
[1782.7] 然后这个拍落伤害啊
[1785.28] 你拍cf号看出来吗
[1786.42] cf和这个耐久五
[1787.679] 如果他不加SBSBC163呢啊
[1789.899] 注意一下地龙钢180度吗
[1793.52] 然后耐久段耐久段来说
[1795.82] 我们看他有多脆皮
[1796.84] 耐久段
[1797.26] 这还有啥好说的
[1798.34] S b76
[1798.94] 双簧70
[1799.66] 这个这个耐久那就差了双8000里
[1801.7] 对
[1802.24] 差了10万8000里啊
[1803.53] 我们假如地龙用个龙爪
[1805.18] 生命宝珠地龙吧
[1806.23] 常见生命宝珠地龙用个龙爪打一下
[1808.44] 是不是把它打死了呀
[1810.03] 就是这样的啊
[1811.44] 一个龙爪都快把剪刀打死了
[1813.58] 所以假面喵在一倍伤害的情况下
[1816.1] 基本上打一下能触发你的茂盛吗
[1818.88] 还可以哈哈
[1819.87] 这也是好事啊
[1820.98] 也是好事啊
[1824.5] 这个生命宝珠可以打出龙爪
[1826.8] 不是生命宝珠
[1827.4] 可能还打不出你的这个茂盛血量1/3
[1830.69] 三分之1÷2茂盛啊
[1832.28] 注意一下
[1832.88] 那么假面速度是100
[1834.29] HB是150来点了
[1835.58] 也就是说上一百五五十点血左右啊
[1838.86] 50元左右就可以触发茂盛啊
[1842.01] 感谢害怕先辈
[1844.6] 祝你阖家安康
[1845.5] 送的很多超火
[1846.58] 非常感谢你啊
[1848.32] 脆皮如果是快龙神速呢
[1849.76] 我们来看一看最热门的甲基土带快龙神速啊
[1853.51] 本系的钛金一般吧
[1855.24] 神速威力80乘以本系六百一百二
[1857.37] 那他和地龙
[1858.24] 其实快龙和地龙攻击力差不多
[1859.8] 那快龙因为是固执性格
[1860.94] 攻击力稍微高点
[1861.9] 再讲解180的威力
[1863.4] 我们说120威力都会把这个草主给打死了
[1865.68] 你说100大威力
[1866.34] 草主死不死
[1867.24] 百分之百大可以看到直接秒杀
[1870.56] 是不是直接秒杀
[1871.85] 所以奖励他的快龙
[1873.2] 一个神速就把你假面喵能秒杀
[1876.1] 你说我气势皮带顶一下对
[1877.78] 如果你没有气势皮带就被秒杀
[1879.43] 如果你有70皮带
[1880.42] 你可以顶一下
[1881.08] 你说我加点耐久行不行
[1882.1] 你看这伤害加耐久顶得住吗
[1883.679] 加点耐久也不行
[1884.579] 如果你加耐久的话
[1885.299] 你攻击力怎么办
[1886.319] 速度怎么办
[1887.26] 不能降在九
[1888.64] 这就假面喵它只能二五大法
[1890.92] 他是没得选的一个努力值好说啊
[1893.74] 好说就是道具和这个特性呢
[1897.48] 还有太极属性诶
[1898.74] 都好说啊
[1899.4] 这都记不上
[1900.46] 就是那个就是这么玩啊
[1902.56] 键盘的固定
[1905.8] 然后赛博卡钛晶草了
[1907.44] 刚说物理的嘛
[1908.28] 特攻其实和物理是一样的
[1909.76] 因为假面喵它的这个双黄都是70
[1912.49] 所以物理特殊都是一样的
[1915.72] 三环的特攻是130多
[1917.48] 也和地龙他们都是一个级别的
[1918.98] 我们都是算伤害
[1920.06] 都按130这附近来算的
[1921.699] 130附近像那个快龙啊
[1923.979] 地龙啊
[1924.459] 暴飞龙啊
[1925.209] 还有赛跑啊这些热门的输出手啊
[1927.219] 他们的都是130左右啊
[1929.11] 所以用这个算比较好
[1930.37] 你不用算一个什么嗯
[1931.9] 哪个攻击力七八十打下来还有多少
[1933.7] 你七八十攻击力的
[1934.9] 你就不是输出手啊
[1935.98] 大哥你打个什么
[1936.88] 你打着打着打啊
[1938.44] 你打假名啊
[1939.04] 那你这个有个屁用啊是吧
[1941.08] 你那种攻击力低了根本就不及格
[1943.06] 说就说句不好听的
[1944.32] 你攻击力不及格了
[1945.22] 就不要来举例了
[1946.28] 你那个一般是大家都怎么会用这种精灵的啊
[1948.71] 你家门鸟这个还差不多加木鸟
[1950.3] 攻击力80来点吧
[1951.32] 他人家也是打
[1952.28] 那是甲木鸟
[1953.06] 那加木鸟是加木鸟啊
[1954.08] 人家本来加木鸟克制加秒三法
[1956.48] 这个钛晶草它的威力是120乘以本系列五倍
[1958.82] 刚才要分个散了
[1959.72] 分散奖
[1960.2] 那威力算下来也是100多
[1961.4] 这不是和地龙差不多嘛
[1962.54] 地龙爪120
[1963.26] 130多
[1963.949] 所以淘一下能不能逃出假面喵
[1966.319] 诶也是一样的道理啊
[1968.149] 给你逃的逃不死
[1969.469] 但是也给你淘到一个触发茂盛的级别好吧
[1972.98] 如果他金刚
[1973.7] 那就死了啊
[1974.54] 太金刚必死无疑啊
[1976.36] 这没有钛金钢啊
[1977.32] 我算的是普通钛晶草本系
[1979.6] 加分散分散成0.75
[1981.6] 钛金刚就这就乘以二了
[1983.4] 不乘1.5了就必死啊
[1985.98] 这样大家对这个假面喵的伤害和耐久
[1988.06] 就一点点一定的了解了吧
[1990.12] 如果你打的少的话
[1990.9] 如果你打多的话
[1991.68] 你直接你去打一下
[1993.24] 你就知道他大概能抗什么技能啊
[1995.1] 这个都是实战
[1996.18] 就知道输出端来说非常的稳定啊
[2000.1] 不怕威吓
[2001.02] 一般情况下都能打到
[2002.64] 打对战过半不是问题
[2004.02] 普通人啊
[2005.22] 像地龙耐久这么高的
[2006.18] 我都能打1万左右啊
[2007.32] 那你普通人我打个1万多是没问题的
[2009.76] 如果队友再稍微压个血线
[2011.62] 那完全是能够击杀的啊
[2013.42] 啊触发茂盛后
[2015.32] 钛晶草的一血千变万花
[2018.59] 非常的厉害
[2020.0] 这个一定要小心
[2021.23] 他这个足以杀很多的人啊
[2024.55] 耐久端来说就是脆皮一个
[2026.14] 随便一个技能都能打出他的猫神
[2028.3] 这就是他的好事啊
[2030.44] 好事
[2032.66] 盾菇一个花粉团四倍克制
[2034.5] 刚才说一倍克制都快把他打死了
[2036.36] 你盾菇花粉的四倍克制
[2037.74] 100%打出七四皮带啊
[2039.42] 这个是不用去算的啊
[2040.84] 我相信你也应该知道
[2041.86] 你炖骨头我都没加攻击力啊
[2043.48] 没加特攻啊
[2044.429] 你不用加也是一样的啊
[2045.929] 你四倍克制花木桃威力90×4936
[2049.53] 这个威力他怎么顶啊
[2050.96] 这完全想都不用想
[2052.43] 我就不用去举花木头打他多少
[2054.56] 花木草打多少
[2055.52] 打到死就这么多啊
[2058.719] 感谢99÷2=45送的火锅
[2060.899] 非常感谢你
[2062.319] 那么速度啊
[2063.739] 说一下他爽朗极速是192啊
[2065.719] 记住这个速度
[2066.829] 当然你后面就不是记他的速度了
[2068.839] 后面你会去记古剑爆他们速度了
[2071.1] 哎古剑棒
[2072.0] 还有这个铁包服啊
[2074.46] 人家速度是136是吧
[2076.2] 哦哟这个太快了
[2077.429] 他极速是190啊
[2078.929] 如果你真的要玩固执的话
[2080.429] 它的速度是175
[2081.449] 175
[2082.169] 我照样快过谁呢
[2083.399] 快过这个地龙啊
[2084.329] 地龙才多少
[2084.929] 地龙才169啊
[2085.889] 极速
[2086.52] 所以你玩固执快过这个没问题
[2088.62] 还有快过这个布拨也没问题啊
[2091.62] 布拨的速度是105种族
[2093.12] 它的速度最后是172
[2094.5] 所以你最多差不多快过这个位置是吧
[2097.1] 耿鬼能不能快过输出
[2098.6] 能不能快活不行
[2099.68] 因为他们的速度是110的种族
[2101.36] 110种族附近呢
[2102.32] 你就快不了了啊
[2104.06] 这个耿鬼像输出啊
[2105.68] 因为现在输出很多都是那种队伍守护的
[2108.2] 他速度也不拉多少
[2109.43] 那这样的话倒是好
[2110.78] 如果但是你还是要跟同类去拼
[2113.0] 说别人也是假面喵
[2113.78] 你也是假面喵
[2114.44] 人家先手不就先手罚你了吗
[2116.12] 先急的罚你一下
[2117.14] 那你不是亏啊
[2118.25] 所以还是爽朗玩的多呀
[2120.53] 但是圣地亚哥阿赛冠军
[2122.6] 我们刚刚说了
[2123.44] 这个韩国人
[2124.28] 他用的就是固执的啊
[2125.6] 他追求一个力度上
[2127.1] 他觉得没有什么人跟我拼诉啊
[2129.1] 跟我拼速
[2129.64] 要么减面
[2130.18] 自己跟我拼数没关系
[2131.2] 大家都是70对战
[2132.1] 有什么好拼的哈
[2133.24] 你也打不死我
[2134.08] 我也打不死你是吧啊
[2136.01] 就是这样的啊
[2138.16] 哎布拨这个速度就有点尴尬
[2140.02] 105种族电老鼠
[2141.46] 你要和雷超去对标的话
[2143.62] 那不应该100一比较好吗
[2144.88] 105
[2145.48] 所以布拨有时候他这个速度卡在这里
[2147.4] 非常的尴尬
[2148.12] 非常尴尬
[2148.82] 这就是前面这个精灵
[2152.02] 最后说一点小知识啊
[2154.6] 这个就是加努力这些小知识
[2156.67] 首先是这个游戏中的这些小知识
[2158.8] 都是围绕着一个核心原则
[2161.52] 就是游戏中出现小数点的情况
[2163.5] 小数点后面的数字一律舍去
[2165.3] 比如说你经常速度101
[2166.92] 我带了个假究围巾
[2167.98] 要乘1.5倍
[2169.06] 101×1.5
[2170.2] 哎呀那这个算出来个小数怎么办呢
[2172.06] 小数点后面舍去101×1.5
[2174.1] 就等于一百一百一百五
[2177.16] 一百一百一百五十九
[2178.98] 110是151.5啊
[2183.0] 算出来这么多吧
[2184.2] 是不是这么多呀
[2185.28] 好像是啊
[2186.27] 那么就是151啊
[2187.68] 他设计的小数点啊
[2189.4] 就由于这个原因呢
[2190.54] 所以说如果你要带我牛国的人
[2192.76] 尤其是你要复古的SB做为偶数
[2195.1] 这样的话刚好一扣一半的血就会吃过
[2197.38] 这是第一个
[2198.26] 另外带生命宝珠的人
[2200.42] 刚才假面喵不存在这个问题
[2202.34] 就是其他带生命宝珠的SUV不要加到十的整数哎
[2205.78] 会少扣一点血
[2206.68] 比如说你生宝珠是扣1/10血吗
[2208.66] 假如这个精灵血180
[2210.08] 请问我带孙膑宝珠打一个技能以后
[2213.02] 他扣了多少血啊
[2214.12] 扣1/10吗
[2215.2] 那不就扣18点血吗
[2216.55] 小朋友都知道
[2217.75] 那我如果血量是179呢
[2221.28] 扣多少
[2222.02] 扣17.9
[2222.8] 是不是
[2223.34] 那不对
[2223.76] 扣17
[2224.54] 所以你不要加到十的整数以后
[2226.64] 那少扣一点血
[2227.54] 这当然是好事了啊
[2229.0] 所以在森保住血量
[2230.14] 如果你要加的话
[2231.22] 不要加到十的整数倍啊
[2233.08] 整数倍
[2235.78] 另外如果你带剩饭的话
[2237.54] 你的SB最好是16的倍数
[2239.58] 还是和上面原理一样
[2240.6] 这个时候就不是你扣血了
[2241.8] 这时候吃饭回血了
[2242.92] 回血的话
[2243.64] 我当然是希望是16的整数倍啊
[2246.28] 剩饭是回1/16的血
[2248.42] 所以如果一个人血量有160
[2251.66] 他吃剩饭是不是每回合回十点血
[2254.02] 如果161呢
[2255.28] 还是会十点血
[2256.06] 但是如果你159呢
[2257.53] 哎那不就回九点血了吗
[2259.24] 那不亏了吗
[2260.12] 所以你要是16的倍数啊
[2262.07] 可多但是不可以少啊
[2264.06] 因为上面是个扣血
[2265.2] 下面是回血
[2265.86] 大家好理解吧
[2266.7] 所以上面这个要扣到179
[2268.32] 下面这个就不能往下扣
[2269.52] 应该往上扣啊
[2270.9] 支持一些努力值
[2272.4] 有时候你点AGB的时候
[2273.66] 稍微点的时候
[2274.26] 顺手的时候也要注意一下
[2275.54] 因为有时候我记得我组队的时候
[2277.16] 周边队伍一看这个森宝珠
[2278.69] 哎大哥
[2279.2] 你带森宝珠怎么血量加了个一百七百八呀
[2281.78] 哎你这不是有有点多
[2284.28] 扣一点血
[2284.76] 有点亏啊
[2285.96] 在剑盾你可以不忽略这个东西
[2288.3] 因为你极巨化以后SB翻倍啊
[2289.86] 那我多两点血
[2290.64] 你再扣一点血
[2291.58] 那你没必要去纠结这一点血吧
[2293.26] 你这么说也有道理
[2294.22] 但是这第九代又不存在极巨化
[2295.99] 我SP并没有翻倍啊
[2297.1] 那少亏点就少亏一点吧
[2298.59] 啊你这个对不对啊
[2300.89] 第八代因为极巨化翻倍
[2302.15] 你不说AG翻倍
[2303.29] 你可以可以忽略不计啊
[2304.61] 这个不要忽略不计
[2305.685] 下面一个就是双方相等的话
[2307.46] 你可以顺手拉四点到特防了
[2309.38] 这个努力值防止对手下载特攻
[2311.68] 下载的精灵一般是特攻手
[2313.45] 多边兽
[2314.2] 盖诺赛克特等等啊
[2315.6] 啊这些房子下的特攻没有多边兽
[2318.06] 你可以忽略这一条啊
[2319.44] 忽略这一条
[2320.1] 我就说双方相等的
[2321.24] 刚假面喵
[2321.72] 双方就是相等的啊
[2328.3] 然后就是这个啊血量在176附近的
[2331.54] 在这个血量附近的人很多啊
[2333.52] SB种族为70的加满血就是177啊
[2336.1] 包括这个爱管事也是吧
[2338.12] 在这个雪狼附近的人啊
[2339.74] 以前老是有人说什么啊
[2342.819] 说这个175血好
[2344.649] 那有人说不对
[2345.519] 177也好
[2346.79] 那好处都有啥
[2347.99] 你说对了才能好啊是吧
[2349.76] 他说是这样的
[2350.92] 哎这个沙暴天气下每回合会砸你1/16血
[2354.16] 所以我如果是175血的话
[2356.02] 那是不是少砸一点血
[2357.92] 你说的对啊
[2359.18] 如果上报殿下
[2360.08] 你175血少打一点血
[2361.79] 那我说如果你是草草场呢
[2364.63] 草长的情况下
[2365.98] 你SB175
[2366.82] 你不少吃一点血吗
[2368.29] 你少砸一点血
[2369.64] 他就会少是一点血
[2370.8] 你能不能明白
[2371.85] 所以你175
[2373.38] 170
[2373.8] 177都没有错啊
[2377.86] 但是由于现在没有什么草场
[2380.28] 是不是没有开草场的
[2381.66] 原来是什么
[2382.42] 原来你觉得轰雷金刚星多还是沙暴多
[2384.88] 我觉得恐怕轰雷金刚猩多吧
[2386.68] 所以大家都吃草吧
[2387.98] 能吃草的
[2388.7] 我为什么不加到血
[2389.66] 加到加到176呢
[2391.01] 177呢
[2392.36] 啊对不对
[2393.89] 那现在第九代他没有什么吃草的
[2396.12] 那这个就好
[2396.84] 那你说那这个还是175好对
[2399.1] 根据环境不同啊
[2400.18] 如果轰雷金刚一回来
[2401.26] 大家都又吃草了
[2402.1] 那不又得176了
[2403.48] 所以这个都可以啊
[2404.86] 没有什么说啊
[2406.05] 一定175还是177号
[2410.01] 对吧啊
[2411.01] 根据环境的情况吧
[2412.57] 你的血多点一点少点一点
[2415.87] 他扣这么一点血
[2416.83] 一点血
[2417.37] 他说这也是精打细算了
[2419.4] 有时候这一点血可以保你的命
[2421.17] 确实是这样啊
[2423.36] 感觉有些穿肌肉送的魔法书
[2425.16] 非常感谢你
[2427.8] 这奥利瓦尼使用率哪有BG拉斯搞啊
[2429.86] 人家bang拉斯现在比较多
[2431.24] 所以175现在比较合理
[2432.74] 根据环境还是要根据环境的
[2434.52] 另外加努力值的时候啊
[2436.26] 加这个攻击力或者特攻啊
[2438.0] 努力值一般你会在76
[2439.8] 156
[2440.34] 236或者36
[2441.78] 116
[2442.26] 196
[2442.8] 这努力值范围内
[2443.94] 你加一加这个四点努力值以后啊
[2448.81] 或者说八点努力值吧
[2449.89] 他会得到两点能力值
[2451.72] 这个叫什么的倍数来着
[2453.52] 这什么N的
[2454.42] 什么N不N的倍数
[2455.32] 我不懂什么N不N的啊
[2456.52] 我都是拿计算器摁就行了
[2458.14] 你的数学
[2459.04] 比如说因为这个游戏是小朋友都可以玩的啊
[2461.53] 所以你不要觉得啊这个计算这么复杂
[2463.84] 那小朋友他怎么玩呢
[2465.18] 你看你家小朋友玩的照样是很溜的呀
[2467.28] 我需要懂你这个数据吗
[2468.54] 不需要懂
[2469.02] 我打开手机
[2470.08] 打开你的计算器啊
[2471.58] 啊不管你是安卓还是IOS手枪
[2473.56] 都有计算器吧
[2474.34] 打开按一下就行了
[2475.44] 所以你不要去在意101÷2等于多少
[2478.14] 哎我需要这个影不影响我对战
[2480.51] 从来不会影响我对战
[2481.92] 对不对啊
[2482.88] 所以这些东西你在教强点就行了
[2485.19] 你不懂什么N不N的也无所谓
[2486.75] 我就不懂什么N不N11N的什么倍数啥的
[2489.51] 我不懂这些东西
[2490.52] 因为我数学不是很好啊
[2492.32] 数学不是很好
[2493.28] 所以说那么这个N不N的
[2495.34] 你不用在意
[2496.0] 拿着计算器摁就行了
[2497.17] 大概在一般我们根据经验来说
[2499.12] 在这几个附近它就会得到两点能力值
[2501.46] 所以经典的苍蝇加多少攻击力
[2504.08] 经典的剑之王形态苍响加76点攻击力是吧
[2508.85] 二位SB加满76点攻击力
[2510.77] 他为什么要加76点攻击力呢
[2512.72] 因为加76点努力值的时候
[2515.11] 刚好会攻击力是220
[2517.21] 如果你少加一点努力值
[2518.98] 特攻击力是218
[2520.57] 218和220是不是差两点攻击力啊
[2524.08] 能力值上差两点
[2525.73] 所以经典猜想就是为什么加700点攻击力
[2528.04] 原因就在这里啊
[2529.78] 你在机枪摁就摁得出来
[2531.4] 比如仙布啊
[2532.12] 仙布是不是加155点特攻
[2533.53] 因为他也会得到两点的这个能力值啊
[2536.1] 就是这个这样就行了
[2537.33] 什么NBN
[2538.08] 他给你说的那么复杂
[2539.1] 万一这个听我们这个都是小朋友呢
[2541.4] 小朋友啊
[2542.06] 你不要着急
[2542.99] 不需要算什么数学乘法问题啊
[2546.35] 我一般给你出的都是加减法的问题
[2548.5] 这个很简单
[2549.28] 或者是二以内的除法
[2550.48] 就是除以二
[2551.08] 这样的不会让你除很多数字
[2552.58] 让你出11
[2553.36] 你出11
[2554.02] 你那除的动啊
[2554.74] 除11是吧
[2555.84] 所以小朋友他也是你放心玩啊
[2558.03] 大胆放心玩全年龄游戏啊
[2559.86] 不存在
[2560.34] 因为数学问题就不能玩这个游戏的说法
[2562.719] 不存在啊
[2563.499] 不存在
[2565.499] 这就是两个队伍啊
[2567.019] 这个比如说就是这个增加阿赛冠军
[2570.559] 这个他这个是个气势披带的草主切变化
[2573.44] 拍落突袭
[2574.04] 保护这四个标准技能
[2575.51] 他性格要注意下是固执的哈
[2577.1] 你要注意你排位的话可能固执的嗯
[2580.05] 你拼不过对面的啊
[2581.58] 拼不过对面
[2582.12] 这要注意一下
[2582.78] 另外就奖金头带的假金头带的话
[2584.7] 就带四个攻技能吧
[2585.98] 前变化拍落突袭
[2587.24] 结果德法如果你不带突袭
[2588.68] 也可以带个其他的啊
[2589.7] 这个也是利亚德大赛上的一个队伍讲解投胎的
[2591.98] 所以这两种都是非常常见的
[2593.54] 如果你喜欢
[2594.08] 你可以玩一下
[2594.74] 任何队伍都可以携带魔幻假面喵
[2597.44] 我们一开始说了啊
[2598.68] 万能入队的啊
[2599.97] 什么体系都可以
[2601.02] 这就假面喵这个精灵啊就说完了啊
[2604.77] 目前来说是非常好用的一个精灵
[2606.6] 不过如果它的优势跟我们说的那几点优势啊
[2609.44] 你速度上优势没有了
[2610.85] 那就没有
[2611.87] 那可能就使用率会下降
[2614.09] 会下降一些
